,,,,,,,,,,2015 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Legend,,,,,,,,,,,,,,,,
24,4th Tandem,"John Van Zandt 
Stephen Ford
TC - Marat Epshtein
TC - Cameron Crow",1969,9:00, ,11:35:00, ,15:04:00, ,18:32:00, ,23:14:00, ,5:28:00, ,10:03:00, ,12:39:00, ,19:55:00, ,2:36:00, ,8:28:00, ,12:38:00
,,,,,10,2:35:00,16,3:29:00,18,3:28:00,14,4:42:00,24,6:14:00,28,4:35:00,27,2:36:00,24,7:16:00,34,6:41:00,41,5:52:00,15,4:10:00
,,,,,10,2:35:00,13,6:04:00,14,9:32:00,14,14:14:00,17,20:28:00,18,25:03:00,18,27:39:00,21,34:55:00,23,41:36:00,24,47:28:00,24,51:38:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
25,8th Unlimited,"John Hoffart
TC - Richard Ameen",6164,9:00, ,11:50:00, ,15:28:00, ,19:06:00, ,0:08:00, ,6:18:00, ,10:28:00, ,12:53:00, ,19:55:00, ,2:26:00, ,8:29:00, ,13:10:00
,,,,,21,2:50:00,25,3:38:00,21,3:38:00,21,5:02:00,23,6:10:00,20,4:10:00,23,2:25:00,23,7:02:00,28,6:31:00,43,6:03:00,23,4:41:00
,,,,,21,2:50:00,22,6:28:00,22,10:06:00,20,15:08:00,20,21:18:00,20,25:28:00,20,27:53:00,21,34:55:00,22,41:26:00,25,47:29:00,25,52:10:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
26,3rd Mens Solo,"Geoff Waters
TC - David Froelich",9,9:00, ,11:42:00, ,15:05:00, ,18:21:00, ,23:15:00, ,5:22:00, ,10:31:00, ,15:45:00, ,1:00:00, ,6:45:00, ,10:47:00, ,14:25:00
,,,,,17,2:42:00,13,3:23:00,12,3:16:00,19,4:54:00,19,6:07:00,42,5:09:00,59,5:14:00,41,9:15:00,20,5:45:00,12,4:02:00,9,3:38:00
,,,,,17,2:42:00,15,6:05:00,13,9:21:00,15,14:15:00,16,20:22:00,22,25:31:00,28,30:45:00,30,40:00:00,28,45:45:00,26,49:47:00,26,53:25:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1st Aluminum,"Alex Taylor 
Ty Taylor
TC - Dana Bunting
TC - Junior Rios",33,9:00, ,12:09:00, ,16:03:00, ,19:46:00, ,1:00:00, ,8:13:00, ,12:43:00, ,15:30:00, ,0:07:00, ,7:20:00, ,11:38:00, ,16:25:00
,,,,,38,3:09:00,37,3:54:00,24,3:43:00,26,5:14:00,34,7:13:00,25,4:30:00,34,2:47:00,35,8:37:00,48,7:13:00,20,4:18:00,25,4:47:00
,,,,,38,3:09:00,38,7:03:00,34,10:46:00,27,16:00:00,28,23:13:00,28,27:43:00,27,30:30:00,29,39:07:00,29,46:20:00,27,50:38:00,27,55:25:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2nd Aluminum,"Dylan Moss 
Mark Hellinger
TC - Charles Chapman
TC - Wade Parsons",1620,9:00, ,12:09:00, ,16:05:00, ,20:01:00, ,1:44:00, ,8:45:00, ,13:16:00, ,15:52:00, ,23:37:00, ,6:16:00, ,12:07:00, ,18:00:00
,,,,,38,3:09:00,38,3:56:00,36,3:56:00,27,5:43:00,30,7:01:00,26,4:31:00,26,2:36:00,27,7:45:00,29,6:39:00,40,5:51:00,43,5:53:00
,,,,,38,3:09:00,40,7:05:00,37,11:01:00,35,16:44:00,31,23:45:00,30,28:16:00,29,30:52:00,27,38:37:00,27,45:16:00,29,51:07:00,28,57:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
29,9th Unlimited,"Isaac Spencer
Gene Tankersley
Jason Tittle
TC - Emory Tankersley
TC - Mindi Spencer",111,9:00, ,12:00:00, ,15:50:00, ,19:39:00, ,1:37:00, ,8:33:00, ,13:14:00, ,16:05:00, ,23:55:00, ,7:23:00, ,12:56:00, ,18:21:00
,,,,,26,3:00:00,35,3:50:00,29,3:49:00,35,5:58:00,29,6:56:00,29,4:41:00,37,2:51:00,28,7:50:00,53,7:28:00,31,5:33:00,37,5:25:00
,,,,,26,3:00:00,33,6:50:00,31,10:39:00,32,16:37:00,29,23:33:00,29,28:14:00,30,31:05:00,28,38:55:00,30,46:23:00,31,51:56:00,29,57:21:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
