,,,,,,,,,,2013 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Legend,,,,,,,,,,,,,,,,
,,,,,,,,,, ,,0.582638889,,Time Out,,,,,,,,,,,,
13,1st USCA C2,24,"Mike Drost
Curtis Slaten
TC - Jeff Wueste",9:00,,12:00:00,,16:13:00,,20:16:00,,1:07:00,,8:21:00,,12:57:00,,15:29:00,,23:38:00,,6:09:00,,10:05:00,,14:27:00
,,,,,18,3:00:00,20,4:13:00,19,4:03:00,16,4:51:00,18,7:14:00,13,4:36:00,7,2:32:00,13,8:09:00,10,6:31:00,8,3:56:00,16,4:22:00
,,,,,18,3:00:00,19,7:13:00,19,11:16:00,17,16:07:00,16,23:21:00,15,27:57:00,14,30:29:00,14,38:38:00,14,45:09:00,12,49:05:00,13,53:27:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4th Mens Solo,1022,"Phil Bowden
TC - Leslie Cain",9:00,,12:09:00,,16:11:00,,19:59:00,,0:52:00,,8:04:00,,13:15:00,,16:21:00,,1:30:00,,8:30:00,,13:16:00,,17:51:00
,,,,,21,3:09:00,15,4:02:00,14,3:48:00,17,4:53:00,17,7:12:00,18,5:11:00,26,3:06:00,19,9:09:00,16,7:00:00,15,4:46:00,20,4:35:00
,,,,,21,3:09:00,18,7:11:00,17,10:59:00,15,15:52:00,15,23:04:00,16,28:15:00,15,31:21:00,15,40:30:00,15,47:30:00,15,52:16:00,14,56:51:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
15,5th Mens Solo,742,"Tim Curry
TC - Ryan Roye",9:00,,11:56:00,,16:07:00,,20:02:00,,1:13:00,,8:48:00,,13:45:00,,16:21:00,,1:40:00,,9:09:00,,13:52:00,,18:54:00
,,,,,15,2:56:00,19,4:11:00,17,3:55:00,19,5:11:00,22,7:35:00,16,4:57:00,10,2:36:00,20,9:19:00,19,7:29:00,14,4:43:00,27,5:02:00
,,,,,15,2:56:00,17,7:07:00,18,11:02:00,18,16:13:00,17,23:48:00,17,28:45:00,15,31:21:00,17,40:40:00,16,48:09:00,16,52:52:00,15,57:54:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1st Tandem,1964,"Woody Green
Chris KelterTC - Marja Juraschek",9:00,,12:12:00,,16:43:00,,21:11:00,,4:42:00,,11:43:00,,16:42:00,,19:37:00,,3:57:00,,11:49:00,,16:22:00,,20:04:00
,,,,,24,3:12:00,28,4:31:00,26,4:28:00,52,7:31:00,13,7:01:00,17,4:59:00,21,2:55:00,14,8:20:00,30,7:52:00,13,4:33:00,13,3:42:00
,,,,,24,3:12:00,25,7:43:00,25,12:11:00,34,19:42:00,23,26:43:00,21,31:42:00,20,34:37:00,18,42:57:00,18,50:49:00,18,55:22:00,16,59:04:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1st Womens Solo,497,"Erin Magee
TC - Chris Stevenson",9:00,,12:15:00,,16:25:00,,20:50:00,,2:14:00,,9:36:00,,14:11:00,,17:06:00,,1:38:00,,9:35:00,,14:30:00,,20:37:00
,,,,,28,3:15:00,18,4:10:00,23,4:25:00,22,5:24:00,19,7:22:00,12,4:35:00,21,2:55:00,16,8:32:00,32,7:57:00,16,4:55:00,61,6:07:00
,,,,,28,3:15:00,20,7:25:00,20,11:50:00,20,17:14:00,18,24:36:00,18,29:11:00,17,32:06:00,16,40:38:00,17,48:35:00,17,53:30:00,17,59:37:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2nd USCA C2,2209,"Max Hambly
Michael Tecci
TC - Jeff Jouett",9:00,,12:09:00,,16:38:00,,20:57:00,,2:40:00,,10:42:00,,16:01:00,,18:53:00,,5:30:00,,12:26:00,,16:46:00,,21:02:00
,,,,,21,3:09:00,25,4:29:00,20,4:19:00,25,5:43:00,24,8:02:00,20,5:19:00,17,2:52:00,27,10:37:00,14,6:56:00,10,4:20:00,15,4:16:00
,,,,,21,3:09:00,24,7:38:00,22,11:57:00,23,17:40:00,20,25:42:00,19,31:01:00,18,33:53:00,20,44:30:00,20,51:26:00,19,55:46:00,18,60:02:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
19,6th Mens Solo,2273,"Chris Issendorf
TC - Shannon Issendorf",9:00,,11:51:00,,15:58:00,,19:56:00,,1:14:00,,11:37:00,,16:48:00,,19:41:00,,6:36:00,,13:13:00,,17:33:00,,1:37:00
,,,,,12,2:51:00,17,4:07:00,18,3:58:00,20,5:18:00,70,10:23:00,18,5:11:00,20,2:53:00,31,10:55:00,11,6:37:00,11,4:20:00,73,8:04:00
,,,,,12,2:51:00,15,6:58:00,15,10:56:00,19,16:14:00,22,26:37:00,22,31:48:00,21,34:41:00,21,45:36:00,21,52:13:00,20,56:33:00,19,64:37:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1st Aluminum,5587,"Gary Kohut
Trevor Hutton
TC - Marilyn kohut",9:00,,12:13:00,,16:48:00,,21:16:00,,3:03:00,,11:44:00,,17:40:00,,20:40:00,,8:42:00,,16:04:00,,21:33:00,,2:55:00
,,,,,25,3:13:00,32,4:35:00,25,4:28:00,26,5:47:00,36,8:41:00,33,5:56:00,25,3:00:00,47,12:02:00,18,7:22:00,23,5:29:00,39,5:22:00
,,,,,25,3:13:00,29,7:48:00,26,12:16:00,24,18:03:00,24,26:44:00,25,32:40:00,24,35:40:00,24,47:42:00,24,55:04:00,23,60:33:00,20,65:55:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2nd Womens,333,"Debbie Richardson
Sheila Reiter
Heather Harrison
TC - Monique Tschurr
TC - Kathryn Alford",9:00,,12:03:00,,16:34:00,,20:54:00,,2:24:00,,10:34:00,,16:01:00,,18:53:00,,4:33:00,,12:21:00,,20:08:00,,3:33:00
,,,,,19,3:03:00,28,4:31:00,21,4:20:00,23,5:30:00,27,8:10:00,22,5:27:00,17,2:52:00,22,9:40:00,27,7:48:00,57,7:47:00,70,7:25:00
,,,,,19,3:03:00,22,7:34:00,21,11:54:00,22,17:24:00,19,25:34:00,19,31:01:00,18,33:53:00,19,43:33:00,19,51:21:00,21,59:08:00,21,66:33:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1st Novice,1920,"Willie Martin
Thomas Martin
TC - Leigh Martin",9:00,,12:30:00,,17:08:00,,21:37:00,,3:41:00,,12:23:00,,18:08:00,,21:53:00,,10:15:00,,18:04:00,,23:10:00,,4:41:00
,,,,,44,3:30:00,34,4:38:00,27,4:29:00,31,6:04:00,37,8:42:00,30,5:45:00,46,3:45:00,50,12:22:00,28,7:49:00,18,5:06:00,44,5:31:00
,,,,,44,3:30:00,38,8:08:00,29,12:37:00,27,18:41:00,28,27:23:00,26,33:08:00,27,36:53:00,26,49:15:00,26,57:04:00,24,62:10:00,22,67:41:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2nd Aluminum,1620,"JT Van Zandt
Hoyt Moss
TC - Charlie Chapman
TC - Misty Watson",9:00,,12:35:00,,17:37:00,,22:35:00,,5:16:00,,13:39:00,,19:22:00,,22:35:00,,10:25:00,,18:10:00,,23:27:00,,5:51:00
,,,,,51,3:35:00,54,5:02:00,41,4:58:00,36,6:41:00,32,8:23:00,29,5:43:00,33,3:13:00,42,11:50:00,24,7:45:00,19,5:17:00,65,6:24:00
