,,,,,,,,,,2022 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Legend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,21,3:00:00,18,4:20:00,22,4:04:00,25,5:28:00,24,7:52:00,23,7:09:00,45,2:09:00,34,12:21:00,15,7:33:00,7,4:36:00,8,5:44:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,21,3:00:00,21,7:20:00,20,11:24:00,18,16:52:00,21,24:44:00,23,31:53:00,23,34:02:00,23,46:23:00,23,53:56:00,22,58:32:00,9,64:16:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1st Aluminum,"Joe Geisinger
Libby Geisinger

TC Curt Slaten
TC Mike Drost",54,9:00, ,12:13:00,,16:44:00,,20:51:00,,2:19:00,,10:06:00,,16:43:00,,18:26:00,,3:59:00,,10:56:00,,15:27:00,,1:54:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,3:13:00,28,4:31:00,25,4:07:00,24,5:28:00,23,7:47:00,15,6:37:00,21,1:43:00,14,9:33:00,7,6:57:00,6,4:31:00,41,10:27:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,3:13:00,28,7:44:00,26,11:51:00,25,17:19:00,25,25:06:00,20,31:43:00,20,33:26:00,16,42:59:00,15,49:56:00,12,54:27:00,10,64:54:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1st Solo Unlimited Woman,"Salli O'Donnell

TC Mike Malone
TC Joe Frohock",5353,9:00, ,11:52:00,,16:09:00,,20:05:00,,1:18:00,,8:44:00,,15:16:00,,16:48:00,,4:00:00,,10:57:00,,16:00:00,,2:46:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,13,2:52:00,17,4:17:00,15,3:56:00,17,5:13:00,18,7:26:00,10,6:32:00,10,1:32:00,28,11:12:00,7,6:57:00,11,5:03:00,43,10:46:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,13,2:52:00,16,7:09:00,16,11:05:00,15,16:18:00,16,23:44:00,14,30:16:00,14,31:48:00,17,43:00:00,16,49:57:00,14,55:00:00,11,65:46:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2nd Solo Unlimited Man,"Adam Sims

TC Brent Townsend
TC Jason Smith",42,9:00, ,11:54:00,,16:05:00,,19:55:00,,1:01:00,,8:11:00,,14:58:00,,16:40:00,,1:17:00,,9:00:00,,16:32:00,,3:00:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15,2:54:00,13,4:11:00,12,3:50:00,13,5:06:00,11,7:10:00,17,6:47:00,19,1:42:00,9,8:37:00,18,7:43:00,51,7:32:00,42,10:28:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15,2:54:00,13,7:05:00,12,10:55:00,13,16:01:00,11,23:11:00,12,29:58:00,12,31:40:00,10,40:17:00,10,48:00:00,16,55:32:00,12,66:00:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2nd Mixed Tandem Unlimited,"Brenda Jones
Keifer Mauldin

TC Tonya Jones
TC Brittany Mauldin
",5961,9:00, ,11:53:00,,16:03:00,,20:04:00,,2:13:00,,9:29:00,,16:26:00,,18:06:00,,6:19:00,,14:11:00,,20:14:00,,4:45:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14,2:53:00,12,4:10:00,18,4:01:00,38,6:09:00,14,7:16:00,19,6:57:00,18,1:40:00,33,12:13:00,23,7:52:00,28,6:03:00,29,8:31:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14,2:53:00,12,7:03:00,15,11:04:00,23,17:13:00,19,24:29:00,19,31:26:00,18,33:06:00,21,45:19:00,21,53:11:00,23,59:14:00,13,67:45:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1st USCA C-2,"Brandon Stafford
Bill Stafford

TC Joseph Bitterly
TC Wade Stafford",30,9:00, ,12:04:00,,16:28:00,,20:30:00,,1:56:00,,9:25:00,,16:21:00,,18:12:00,,3:51:00,,11:46:00,,16:52:00,,4:47:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,24,3:04:00,21,4:24:00,19,4:02:00,22,5:26:00,20,7:29:00,18,6:56:00,27,1:51:00,15,9:39:00,25,7:55:00,12,5:06:00,50,11:55:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,24,3:04:00,22,7:28:00,22,11:30:00,19,16:56:00,17,24:25:00,18,31:21:00,19,33:12:00,15,42:51:00,17,50:46:00,17,55:52:00,14,67:47:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2nd USCA C-2,"Joshua Hulin
Susannah Hulin

TC Priscilla Hulin
TC Cherith Hendrich",56,9:00, ,12:10:00,,16:39:00,,21:22:00,,2:40:00,,11:38:00,,19:02:00,,20:40:00,,8:09:00,,16:10:00,,21:58:00,,5:12:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,28,3:10:00,24,4:29:00,40,4:43:00,19,5:18:00,43,8:58:00,25,7:24:00,12,1:38:00,29,11:29:00,26,8:01:00,22,5:48:00,15,7:14:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,28,3:10:00,25,7:39:00,33,12:22:00,29,17:40:00,29,26:38:00,27,34:02:00,27,35:40:00,24,47:09:00,26,55:10:00,25,60:58:00,15,68:12:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1st Standard,"Chris Champion
Wendell Smith

TC Mark Miller
TC Aaron Timmins",880,9:00, ,12:11:00,,16:42:00,,20:46:00,,2:09:00,,9:52:00,,17:08:00,,19:07:00,,4:55:00,,12:13:00,,17:26:00,,5:48:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,29,3:11:00,26,4:31:00,20,4:04:00,20,5:23:00,22,7:43:00,24,7:16:00,34,1:59:00,17,9:48:00,13,7:18:00,13,5:13:00,53,12:22:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,29,3:11:00,27,7:42:00,25,11:46:00,22,17:09:00,24,24:52:00,24,32:08:00,24,34:07:00,19,43:55:00,19,51:13:00,18,56:26:00,16,68:48:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,3rd Solo Unlimited Man,"Brady Lotz

TC Charlene Lotz
TC Charles Cox",66,9:00, ,12:05:00,,16:30:00,,20:43:00,,2:08:00,,10:20:00,,18:27:00,,20:32:00,,8:09:00,,16:01:00,,21:27:00,,5:52:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,26,3:05:00,22,4:25:00,28,4:13:00,21,5:25:00,27,8:12:00,36,8:07:00,41,2:05:00,30,11:37:00,22,7:52:00,15,5:26:00,28,8:25:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,26,3:05:00,23,7:30:00,24,11:43:00,20,17:08:00,26,25:20:00,26,33:27:00,26,35:32:00,25,47:09:00,24,55:01:00,24,60:27:00,17,68:52:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,5th Unlimited,"Daniel Currey
Derrick Lee
Greg Frank
Austin Bodin

TC Miranda Wait
TC Heather Toombs",667,9:00, ,12:16:00,,16:53:00,,21:07:00,,3:05:00,,11:46:00,,20:17:00,,22:19:00,,8:30:00,,16:08:00,,23:34:00,,7:00:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,32,3:16:00,31,4:37:00,30,4:14:00,33,5:58:00,35,8:41:00,41,8:31:00,36,2:02:00,18,10:11:00,16,7:38:00,50,7:26:00,17,7:26:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,32,3:16:00,34,7:53:00,31,12:07:00,32,18:05:00,30,26:46:00,31,35:17:00,31,37:19:00,26,47:30:00,25,55:08:00,27,62:34:00,18,70:00:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,6th Unlimited,"John Mark Harrasw
Darren Dodd - out @ Wooden Bridge
John Dupont
Garret Jones
Jimmy MacMillan
Matt Wagner

TC Jason Jones
TC Patty Dodd",807,9:00, ,11:43:00,,15:42:00,,19:29:00,,0:25:00,,7:14:00,,13:26:00,,15:06:00,,0:27:00,,8:12:00,,13:59:00,,7:15:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9,2:43:00,8,3:59:00,9,3:47:00,9,4:56:00,7,6:49:00,9,6:12:00,16,1:40:00,13,9:21:00,19,7:45:00,21,5:47:00,64,17:16:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9,2:43:00,9,6:42:00,9,10:29:00,9,15:25:00,8,22:14:00,9,28:26:00,9,30:06:00,9,39:27:00,9,47:12:00,9,52:59:00,19,70:15:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2nd Aluminum,"Stephen Beck
Andy Armendariz

TC Kendra Alaniz
TC Roman Manzano",4747,9:00, ,12:27:00,,17:18:00,,21:38:00,,3:33:00,,12:12:00,,19:53:00,,21:59:00,,10:50:00,,18:36:00,,24:25:00,,7:30:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43,3:27:00,39,4:51:00,33,4:20:00,32,5:55:00,33,8:39:00,29,7:41:00,42,2:06:00,39,12:51:00,20,7:46:00,23,5:49:00,13,7:05:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43,3:27:00,36,8:18:00,34,12:38:00,34,18:33:00,32,27:12:00,28,34:53:00,28,36:59:00,31,49:50:00,29,57:36:00,29,63:25:00,20,70:30:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,3rd USCA C-2,"Joe Mann
John Bugge

TC Jennifer Bugge
TC Megan Yeager",1345,9:00, ,12:19:00,,16:50:00,,21:03:00,,2:16:00,,9:30:00,,16:09:00,,17:56:00,,2:49:00,,9:59:00,,15:35:00,,7:56:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,34,3:19:00,26,4:31:00,29,4:13:00,16,5:13:00,12,7:14:00,16,6:39:00,24,1:47:00,12,8:53:00,12,7:10:00,18,5:36:00,62,16:21:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,34,3:19:00,32,7:50:00,28,12:03:00,24,17:16:00,20,24:30:00,17,31:09:00,17,32:56:00,14,41:49:00,13,48:59:00,13,54:35:00,21,70:56:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,3rd Mixed Tandem Unlimited,"Vance Sherrod
Sam Binion

TC Sandy Sherrod
TC Shannon Merritt",216,9:00, ,11:59:00,,16:19:00,,20:15:00,,1:14:00,,8:42:00,,15:16:00,,16:55:00,,1:22:00,,9:30:00,,15:25:00,,9:43:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,20,2:59:00,19,4:20:00,15,3:56:00,10,4:59:00,19,7:28:00,11,6:34:00,14,1:39:00,8,8:27:00,28,8:08:00,25,5:55:00,65,18:18:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,20,2:59:00,20,7:19:00,18,11:15:00,14,16:14:00,14,23:42:00,14,30:16:00,15,31:55:00,11,40:22:00,12,48:30:00,11,54:25:00,22,72:43:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,4th Solo Unlimited Man,"Joel Truitt

TC Bill McCanse
TC Gwen Hills",15,9:00, ,11:57:00,,16:06:00,,19:55:00,,0:57:00,,8:12:00,,14:47:00,,16:37:00,,6:55:00,,14:22:00,,19:24:00,,9:45:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,19,2:57:00,11,4:09:00,11,3:49:00,11,5:02:00,13,7:15:00,14,6:35:00,26,1:50:00,59,14:18:00,14,7:27:00,10,5:02:00,59,14:21:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,19,2:57:00,14,7:06:00,12,10:55:00,12,15:57:00,12,23:12:00,11,29:47:00,11,31:37:00,22,45:55:00,22,53:22:00,21,58:24:00,23,72:45:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1st Novice,"Trent Lowry
Bren Rose

TC Ryan Lowry
TC John Rose",777,9:00, ,12:36:00,,17:37:00,,22:16:00,,4:36:00,,13:25:00,,21:00:00,,22:52:00,,9:20:00,,17:28:00,,23:40:00,,9:58:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,58,3:36:00,46,5:01:00,38,4:39:00,41,6:20:00,38,8:49:00,27,7:35:00,28,1:52:00,20,10:28:00,28,8:08:00,33,6:12:00,38,10:18:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,58,3:36:00,47,8:37:00,41,13:16:00,41,19:36:00,40,28:25:00,33,36:00:00,33,37:52:00,29,48:20:00,28,56:28:00,28,62:40:00,24,72:58:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,4th Mixed Tandem Unlimited,"Heather Harrison
Cameron Harrison

TC Veronica Sosa
TC Jake Aziz",333,9:00, ,12:04:00,,16:38:00,,20:42:00,,2:08:00,,9:45:00,,16:48:00,,18:35:00,,4:18:00,,12:09:00,,17:34:00,,10:11:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,24,3:04:00,29,4:34:00,20,4:04:00,22,5:26:00,21,7:37:00,22,7:03:00,23,1:47:00,16,9:43:00,21,7:51:00,14,5:25:00,63,16:37:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,24,3:04:00,24,7:38:00,23,11:42:00,20,17:08:00,22,24:45:00,22,31:48:00,21,33:35:00,18,43:18:00,18,51:09:00,19,56:34:00,25,73:11:00,,,,,,,,,,,,,,,,,,,,,,,
