,,,,,,,,,,2022 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Legend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,7th Tandem Unlimited,"Benjamin Duckett
Jay Fox

TC Constance Harris
TC Emily Duckett",728,9:00, ,12:35:00,,18:02:00,,23:16:00,,6:10:00,,16:12:00,,2:35:00,,4:55:00,,17:50:00,,5:51:00,,13:45:00,,10:38:00,,,,,,,,,,,,,,,,,,,,,,,
,,*2 hour penalty - barge canal,,,55,3:35:00,65,5:27:00,57,5:14:00,55,6:54:00,59,10:02:00,58,10:23:00,53,2:20:00,42,12:55:00,60,12:01:00,57,7:54:00,70,20:53:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,55,3:35:00,61,9:02:00,60,14:16:00,53,21:10:00,58,31:12:00,50,41:35:00,48,43:55:00,49,56:50:00,48,68:51:00,47,76:45:00,61,97:38:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,6th Solo Unlimited Man,"Nate Jacobson

TC Charity Jacobson
TC Lisa Jacobson",512,9:00, ,12:51:00,,18:20:00,,23:42:00,,6:25:00,,17:47:00,,5:35:00,,7:55:00,,22:27:00,,14:33:00,,23:43:00,,10:44:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,68,3:51:00,67,5:29:00,61,5:22:00,47,6:43:00,74,11:22:00,68,11:48:00,53,2:20:00,61,14:32:00,76,16:06:00,66,9:10:00,44,11:01:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,68,3:51:00,66,9:20:00,67,14:42:00,56,21:25:00,63,32:47:00,60,44:35:00,58,46:55:00,56,61:27:00,65,77:33:00,65,86:43:00,62,97:44:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,9th Novice,"Peter Pham
Tony Kusbel

TC Joe Pham",2344,9:00, ,12:53:00,,18:25:00,,0:07:00,,8:37:00,,20:34:00,,8:31:00,,11:00:00,,6:38:00,,17:15:00,,1:49:00,,10:46:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,74,3:53:00,72,5:32:00,69,5:42:00,73,8:30:00,81,11:57:00,72,11:57:00,61,2:29:00,79,19:38:00,52,10:37:00,59,8:34:00,33,8:57:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,74,3:53:00,72,9:25:00,71,15:07:00,67,23:37:00,71,35:34:00,68,47:31:00,65,50:00:00,71,69:38:00,69,80:15:00,68,88:49:00,63,97:46:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3rd Solo Unlimited Woman,"Cynthia Amodio

TC Charlie Stewart
TC David Amodio",6774,9:00, ,12:54:00,,17:46:00,,22:46:00,,6:46:00,,16:01:00,,1:10:00,,4:28:00,,17:33:00,,10:25:00,,16:20:00,,10:48:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,78,3:54:00,40,4:52:00,50,5:00:00,66,8:00:00,50,9:15:00,50,9:09:00,82,3:18:00,45,13:05:00,77,16:52:00,25,5:55:00,67,18:28:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,78,3:54:00,55,8:46:00,49,13:46:00,61,21:46:00,54,31:01:00,45,40:10:00,47,43:28:00,48,56:33:00,55,73:25:00,52,79:20:00,64,97:48:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,9th Aluminum,"Ross Conner
Jack Conner

TC Troy Austin
TC Josh Dacus",817,9:00, ,13:13:00,,19:44:00,,2:07:00,,11:07:00,,22:59:00,,11:12:00,,13:39:00,,7:21:00,,17:12:00,,23:25:00,,11:02:00,,,,,,,,,,,,,,,,,,,,,,,
,,*2 hour penalty - barge canal,,,99,4:13:00,116,6:31:00,81,6:23:00,82,9:00:00,80,11:52:00,73,12:13:00,58,2:27:00,78,17:42:00,47,9:51:00,35,6:13:00,48,11:37:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,99,4:13:00,110,10:44:00,89,17:07:00,81,26:07:00,81,37:59:00,75,50:12:00,72,52:39:00,73,70:21:00,68,80:12:00,64,86:25:00,65,98:02:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,10th Aluminum,"Daniel Lee
Tim Jones

TC Ivory Jones
TC Jack Lee",700,9:00, ,12:52:00,,18:41:00,,0:35:00,,10:39:00,,21:20:00,,11:52:00,,14:00:00,,5:01:00,,17:36:00,,3:45:00,,11:47:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,71,3:52:00,83,5:49:00,74,5:54:00,94,10:04:00,65,10:41:00,86,14:32:00,43,2:08:00,67,15:01:00,68,12:35:00,73,10:09:00,25,8:02:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,71,3:52:00,80,9:41:00,77,15:35:00,76,25:39:00,73,36:20:00,76,50:52:00,73,53:00:00,68,68:01:00,70,80:36:00,70,90:45:00,66,98:47:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,10th Novice,"Collin Koonce
Ian Magee

TC Laurinda Magee
TC Harold Magee",6288,9:00, ,13:26:00,,19:20:00,,4:53:00,,14:35:00,,3:50:00,,13:48:00,,16:23:00,,7:55:00,,20:13:00,,5:10:00,,12:26:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,110,4:26:00,90,5:54:00,106,9:33:00,91,9:42:00,85,13:15:00,55,9:58:00,67,2:35:00,70,15:32:00,66,12:18:00,64,8:57:00,16,7:16:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,110,4:26:00,99,10:20:00,107,19:53:00,99,29:35:00,87,42:50:00,85,52:48:00,79,55:23:00,76,70:55:00,76,83:13:00,73,92:10:00,67,99:26:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,11th Novice,"Robert Kliment
Mike Schrader

TC Bryan Bledsoe
TC Todd Mullen",3003,9:00, ,13:37:00,,19:40:00,,6:34:00,,1:57:00,,4:51:00,,13:14:00,,15:55:00,,7:38:00,,18:43:00,,5:30:00,,12:31:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,117,4:37:00,99,6:03:00,110,10:54:00,101,19:23:00,94,26:54:00,39,8:23:00,71,2:41:00,72,15:43:00,56,11:05:00,74,10:47:00,12,7:01:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,117,4:37:00,107,10:40:00,111,21:34:00,101,40:57:00,91,43:51:00,80,52:14:00,77,54:55:00,74,70:38:00,73,81:43:00,75,92:30:00,68,99:31:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,7th Solo Unlimited Man,"Donovann Fite

TC Woody Welch
TC Natalie George",69,9:00, ,13:25:00,,19:20:00,,5:33:00,,12:55:00,,4:42:00,,13:44:00,,16:12:00,,7:59:00,,20:13:00,,5:00:00,,12:33:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,109,4:25:00,91,5:55:00,109,10:13:00,59,7:22:00,92,15:47:00,48,9:02:00,59,2:28:00,73,15:47:00,64,12:14:00,61,8:47:00,21,7:33:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,109,4:25:00,99,10:20:00,109,20:33:00,90,27:55:00,89,43:42:00,84,52:44:00,78,55:12:00,77,70:59:00,76,83:13:00,72,92:00:00,69,99:33:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,12th Novice,"Cody Hardin
Chris Withers

TC Cody Fowler
",4,9:00, ,13:36:00,,19:39:00,,5:29:00,,14:08:00,,5:25:00,,14:24:00,,17:10:00,,8:03:00,,20:20:00,,5:10:00,,12:39:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,116,4:36:00,98,6:03:00,108,9:50:00,77,8:39:00,90,15:17:00,47,8:59:00,74,2:46:00,65,14:53:00,65,12:17:00,62,8:50:00,19,7:29:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,116,4:36:00,106,10:39:00,108,20:29:00,96,29:08:00,92,44:25:00,86,53:24:00,83,56:10:00,78,71:03:00,78,83:20:00,73,92:10:00,70,99:39:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,4th Solo Unlimited Woman,"Erin Magee

TC Clara Snyder
TC Rob Nichols",497,9:00, ,12:54:00,,17:55:00,,22:47:00,,4:50:00,,13:12:00,,22:00:00,,0:28:00,,13:55:00,,0:59:00,,13:50:00,,12:59:00,,,,,,,,,,,,,,,,,,,,,,,
,,*3 hr 28 min penalty - barge canal,,,78,3:54:00,46,5:01:00,47,4:52:00,35,6:03:00,29,8:22:00,45,8:48:00,60,2:28:00,48,13:27:00,55,11:04:00,75,12:51:00,71,23:09:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,78,3:54:00,60,8:55:00,50,13:47:00,44,19:50:00,39,28:12:00,38,37:00:00,39,39:28:00,37,52:55:00,41,63:59:00,48,76:50:00,71,99:59:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Solo Unlimited Man,"Colton Moore

TC Felecity Mayden
TC Dylan Mumma",45,9:00, ,12:55:00,,18:50:00,,23:01:00,,5:52:00,,16:11:00,,1:35:00,,3:55:00,,17:31:00,,2:43:00,,11:54:00,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,81,3:55:00,92,5:55:00,26,4:11:00,54,6:51:00,61,10:19:00,52,9:24:00,52,2:20:00,50,13:36:00,43,9:12:00,67,9:11:00,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,81,3:55:00,89,9:50:00,56,14:01:00,51,20:52:00,56,31:11:00,46,40:35:00,44,42:55:00,46,56:31:00,44,65:43:00,44,74:54:00,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Aluminum,"Hoyt Moss
Jay Jackson

TC Charlie Chapman
TC Wade Parsons",1620,9:00, ,12:28:00,,17:19:00,,22:04:00,,4:28:00,,13:09:00,,21:43:00,,22:50:00,,9:08:00,,17:27:00,,23:13:00,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,46,3:28:00,38,4:51:00,41,4:45:00,42,6:24:00,35,8:41:00,42,8:34:00,4,1:07:00,19,10:18:00,31,8:19:00,20,5:46:00,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,46,3:28:00,39,8:19:00,37,13:04:00,39,19:28:00,38,28:09:00,36,36:43:00,32,37:50:00,27,48:08:00,27,56:27:00,26,62:13:00,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Novice,"Ryan Stewart
Marsh Alkire

TC Tabette Stewart
TC Ashton Alkire",1927,9:00, ,12:31:00,,17:42:00,,22:54:00,,6:37:00,,16:05:00,,3:02:00,,5:28:00,,17:58:00,,4:05:00,,11:25:00,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,49,3:31:00,55,5:11:00,56,5:12:00,64,7:43:00,54,9:28:00,63,10:57:00,57,2:26:00,37,12:30:00,49,10:07:00,47,7:20:00,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,49,3:31:00,51,8:42:00,52,13:54:00,60,21:37:00,55,31:05:00,52,42:02:00,50,44:28:00,50,56:58:00,46,67:05:00,43,74:25:00,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Unlimited,"Daryl Ezell
Avery Ezell
Leonard Garner - out @ Hochheim

TC Lee Ezell
TC Joe Fore",2727,9:00, ,13:49:00,,20:00:00,,3:11:00,,11:02:00,,22:32:00,,10:24:00,,12:55:00,,6:28:00,,18:38:00,,4:32:00,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,121,4:49:00,106,6:11:00,93,7:11:00,65,7:51:00,77,11:30:00,70,11:52:00,62,2:31:00,77,17:33:00,63,12:10:00,71,9:54:00,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,121,4:49:00,117,11:00:00,100,18:11:00,80,26:02:00,78,37:32:00,71,49:24:00,69,51:55:00,70,69:28:00,72,81:38:00,71,91:32:00,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,USCA C-1 Man,"Richard Zambrana

TC Tina Sacket",17,9:00, ,12:24:00,,17:23:00,,22:23:00,,4:06:00,,13:01:00,,21:03:00,,23:12:00,,11:36:00,,23:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,40,3:24:00,43,4:59:00,50,5:00:00,30,5:43:00,42,8:55:00,34,8:02:00,44,2:09:00,35,12:24:00,62,12:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,40,3:24:00,43,8:23:00,44,13:23:00,37,19:06:00,37,28:01:00,35,36:03:00,35,38:12:00,34,50:36:00,39,62:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Novice,"Kaarin Gerber
Kristin Gonzalez

TC Craig Dilley
TC Josh London",666,9:00, ,13:13:00,,19:32:00,,2:32:00,,14:15:00,,4:44:00,,14:37:00,,16:39:00,,7:15:00,,19:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,99,4:13:00,111,6:19:00,88,7:00:00,100,11:43:00,88,14:29:00,54,9:53:00,36,2:02:00,62,14:36:00,58,11:54:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,99,4:13:00,104,10:32:00,94,17:32:00,97,29:15:00,90,43:44:00,87,53:37:00,82,55:39:00,72,70:15:00,74,82:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Novice,"Seth Fry
Bryan Moczygemba

TC David Lee
TC Keith Olenick",1099,9:00, ,14:00:00,,19:53:00,,4:14:00,,12:16:00,,2:32:00,,13:26:00,,16:29:00,,6:07:00,,19:37:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,125,5:00:00,88,5:53:00,100,8:21:00,68,8:02:00,87,14:16:00,62,10:54:00,78,3:03:00,52,13:38:00,74,13:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,125,5:00:00,112,10:53:00,103,19:14:00,88,27:16:00,86,41:32:00,83,52:26:00,81,55:29:00,69,69:07:00,75,82:37:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Solo Unlimited Man,"Justin Brzozowske

TC Carol Brzozowske",1966,9:00, ,12:39:00,,17:47:00,,23:09:00,,6:34:00,,17:45:00,,3:45:00,,6:58:00,,20:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,62,3:39:00,51,5:08:00,60,5:22:00,61,7:25:00,70,11:11:00,56,10:00:00,80,3:13:00,56,13:47:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,62,3:39:00,56,8:47:00,58,14:09:00,59,21:34:00,62,32:45:00,54,42:45:00,54,45:58:00,52,59:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Unlimited,"Clint Simmons
Kenney Howitt
Chris Buxton

TC Rachel Simmons
TC Jennifer Howitt",727,9:00, ,12:19:00,,18:29:00,,1:35:00,,11:29:00,,23:02:00,,8:20:00,,12:31:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,34,3:19:00,105,6:10:00,90,7:06:00,93,9:54:00,78,11:33:00,51,9:18:00,83,4:11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,34,3:19:00,74,9:29:00,84,16:35:00,82,26:29:00,82,38:02:00,67,47:20:00,68,51:31:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,USCA C-1 Man,"Tyler Payne

TC Alan Payne
TC Jody Allen
",871,9:00, ,13:04:00,,18:45:00,,1:53:00,,10:50:00,,22:53:00,,13:21:00,,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,95,4:04:00,78,5:41:00,92,7:08:00,81,8:57:00,82,12:03:00,85,14:28:00,84,10:39:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,95,4:04:00,84,9:45:00,87,16:53:00,77,25:50:00,79,37:53:00,82,52:21:00,84,63:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Novice,"Liia Dotcenko-Lewey
Graham Daly

TC Julie Lewey
TC Jeff Carter",1105,9:00, ,12:41:00,,18:13:00,,2:53:00,,12:59:00,,4:27:00,,13:18:00,,16:26:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,65,3:41:00,71,5:32:00,102,8:40:00,95,10:06:00,91,15:28:00,46,8:51:00,79,3:08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,65,3:41:00,64,9:13:00,97,17:53:00,91,27:59:00,88,43:27:00,81,52:18:00,80,55:26:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Tandem Unlimited,"Dylan McHardy
Ryan Milby

TC Laura Milby",1111,9:00, ,11:50:00,,16:15:00,,20:12:00,,1:19:00,,8:42:00,,15:16:00,,16:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12,2:50:00,22,4:25:00,17,3:57:00,15,5:07:00,16,7:23:00,11,6:34:00,14,1:39:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12,2:50:00,18,7:15:00,17,11:12:00,16,16:19:00,14,23:42:00,14,30:16:00,15,31:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Novice,"Jared O'Brien
Chris Davis

TC Jami O'Brien
TC Ana Davis",1984,9:00, ,12:50:00,,18:04:00,,23:41:00,,7:14:00,,16:30:00,,5:03:00,,7:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67,3:50:00,58,5:14:00,67,5:37:00,63,7:33:00,51,9:16:00,77,12:33:00,51,2:19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,67,3:50:00,62,9:04:00,66,14:41:00,63,22:14:00,59,31:30:00,59,44:03:00,57,46:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Solo Unlimited Man,"Jay Berger

TC Patty Berger
TC Victor Berger",712,9:00, ,12:15:00,,16:49:00,,21:13:00,,2:51:00,,12:00:00,,20:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,31,3:15:00,29,4:34:00,34,4:24:00,28,5:38:00,46,9:09:00,37,8:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,31,3:15:00,31,7:49:00,32,12:13:00,31,17:51:00,31,27:00:00,30,35:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Solo Unlimited Man,"Michael Carson

TC Lori Musico
TC Dustin Ryktarsyk
",1213,9:00, ,13:17:00,,19:15:00,,2:31:00,,10:31:00,,21:37:00,,10:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,103,4:17:00,95,5:58:00,96,7:16:00,66,8:00:00,69,11:06:00,80,12:53:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,103,4:17:00,98,10:15:00,92,17:31:00,75,25:31:00,74,36:37:00,72,49:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Aluminum,"Sean Leahy
Egan Gyldenege

TC Bruce Abbitt
TC Olivia Palomares",1450,9:00, ,12:32:00,,17:47:00,,23:12:00,,5:45:00,,14:40:00,,23:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,50,3:32:00,59,5:15:00,63,5:25:00,44,6:33:00,40,8:55:00,49,9:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,50,3:32:00,56,8:47:00,59,14:12:00,49,20:45:00,48,29:40:00,44,38:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Novice,"Gena McKinley
Ellen Gass

TC Lisa Barden
TC Reid Fisher",40,9:00, ,13:09:00,,19:00:00,,3:25:00,,10:55:00,,21:37:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,98,4:09:00,86,5:51:00,101,8:25:00,62,7:30:00,66,10:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,98,4:09:00,94,10:00:00,101,18:25:00,78,25:55:00,74,36:37:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Solo Unlimited Man,"Michael Tecci

TC Jessie Hazelwood",387,9:00, ,11:54:00,,16:08:00,,20:03:00,,1:32:00,,9:26:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15,2:54:00,15,4:14:00,14,3:55:00,26,5:29:00,25,7:54:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15,2:54:00,15,7:08:00,14,11:03:00,17,16:32:00,18,24:26:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Solo Unlimited Man,"Daniel Baumbach

TC Clay Garner
TC Melanie Garner",71,9:00, ,11:56:00,,16:17:00,,20:23:00,,3:27:00,,12:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18,2:56:00,20,4:21:00,24,4:06:00,57,7:04:00,41,8:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18,2:56:00,19,7:17:00,19,11:23:00,33,18:27:00,34,27:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Solo Unlimited Man,"Chuck Scheidt

TC Stacey Scheidt
TC Pam Lagrone",1000,9:00, ,11:55:00,,16:09:00,,20:24:00,,2:29:00,,14:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17,2:55:00,16,4:14:00,31,4:15:00,37,6:05:00,83,12:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,17,2:55:00,16,7:09:00,20,11:24:00,28,17:29:00,47,29:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Solo Unlimited Woman,"Kileigh Reed

TC Ashley Spradin
TC Jacob Barnes",8666,9:00, ,13:20:00,,19:30:00,,7:34:00,,16:28:00,,7:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,108,4:20:00,104,6:10:00,114,12:04:00,80,8:54:00,89,14:48:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,108,4:20:00,103,10:30:00,114,22:34:00,100,31:28:00,94,46:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Unlimited,"Drew Heffner
Morgan McGee
Kyle Turner - out @ Palmetto
Jason Schulte - out @ Gonzales

TC Jordan Webster
TC Bob Mrdjenovich",1776,9:00, ,13:28:00,,19:51:00,,2:41:00,,14:23:00,,6:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,112,4:28:00,114,6:23:00,85,6:50:00,99,11:42:00,92,15:47:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,112,4:28:00,111,10:51:00,96,17:41:00,98,29:23:00,93,45:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Unlimited,"Cody Taylor
Scott Frazier
Paul Rabuse

TC Chad Barnhill
TC Michelle Frazier",2022,9:00, ,12:26:00,,17:41:00,,22:47:00,,5:13:00,,14:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,41,3:26:00,59,5:15:00,52,5:06:00,43,6:26:00,49,9:12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,41,3:26:00,50,8:41:00,50,13:47:00,47,20:13:00,45,29:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Solo Unlimited Man,"Jon Schoepflin

TC Shannon Schoepflin
TC Linden Welsch",1,9:00, ,12:53:00,,19:09:00,,2:15:00,,11:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,74,3:53:00,108,6:16:00,91,7:06:00,79,8:46:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,74,3:53:00,96,10:09:00,91,17:15:00,79,26:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Solo Unlimited Man,"Jeff Larsen

TC Keith Stone
TC Ron Green",101,9:00, ,12:40:00,,18:29:00,,1:12:00,,11:31:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
