,,,,,,,,,,2021 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,7th Unlimited,"John Dupont
Brandon Gabehart
Luke Zolnierowski
Andrew Davis
Maxx Dugas
John Mark Harras
TC Jason Jones
TC Jessica Davis",807,9:00, ,11:32:00,,15:09:00,,18:30:00,,22:47:00,,4:39:00,,8:39:00,,10:45:00,,17:05:00,,22:44:00,,3:02:00,,6:30:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6,2:32:00,6,3:37:00,8,3:21:00,10,4:17:00,12,5:52:00,10,4:00:00,8,2:06:00,11,6:20:00,18,5:39:00,14,4:18:00,22,3:28:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6,2:32:00,6,6:09:00,7,9:30:00,9,13:47:00,10,19:39:00,10,23:39:00,10,25:45:00,10,32:05:00,10,37:44:00,10,42:02:00,9,45:30:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1st Standard,"Joe Geisinger
John Bugge
TC Bill McCanse
TC James Connolly",42,9:00, ,11:46:00,,15:34:00,,18:57:00,,23:18:00,,5:14:00,,9:21:00,,11:32:00,,18:04:00,,23:34:00,,3:45:00,,7:04:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,22,2:46:00,12,3:48:00,10,3:23:00,12,4:21:00,14,5:56:00,17,4:07:00,12,2:11:00,17,6:32:00,12,5:30:00,12,4:11:00,14,3:19:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,22,2:46:00,19,6:34:00,15,9:57:00,11,14:18:00,12,20:14:00,12,24:21:00,11,26:32:00,13,33:04:00,13,38:34:00,11,42:45:00,10,46:04:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"1st Mixed
1st Adult Youth","Ian Rolls
Adelaide Rolls
TC Brooke Rolls
TC Blane Ellis",7,9:00, ,11:33:00,,15:25:00,,18:55:00,,23:18:00,,5:28:00,,9:29:00,,11:48:00,,18:20:00,,23:50:00,,3:51:00,,7:08:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8,2:33:00,17,3:52:00,18,3:30:00,13,4:23:00,23,6:10:00,10,4:01:00,11,2:19:00,16,6:32:00,12,5:30:00,9,4:01:00,12,3:17:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8,2:33:00,12,6:25:00,12,9:55:00,11,14:18:00,15,20:28:00,15,24:29:00,15,26:48:00,14,33:20:00,14,38:50:00,12,42:51:00,11,46:08:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2nd Womens,"Courtney Martinez
Heather Harrison
TC Ginsie Stauss
TC Shiela Reiter",333,9:00, ,11:45:00,,15:37:00,,19:03:00,,23:32:00,,5:31:00,,9:36:00,,11:53:00,,18:22:00,,23:52:00,,4:00:00,,7:45:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,21,2:45:00,19,3:52:00,12,3:26:00,16,4:29:00,16,5:59:00,15,4:05:00,15,2:17:00,15,6:29:00,12,5:30:00,11,4:08:00,31,3:45:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,21,2:45:00,21,6:37:00,18,10:03:00,15,14:32:00,17,20:31:00,16,24:36:00,16,26:53:00,15,33:22:00,15,38:52:00,13,43:00:00,12,46:45:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1st USCA C-1 Man,"Gabe Haarsma
TC David Finley
TC Helena Finlay",38,9:00, ,11:54:00,,15:49:00,,19:26:00,,0:06:00,,6:07:00,,10:08:00,,12:28:00,,19:22:00,,0:54:00,,4:40:00,,8:04:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,2:54:00,12,3:55:00,24,3:37:00,20,4:40:00,18,6:01:00,14,4:01:00,17,2:20:00,20,6:54:00,16,5:32:00,7,3:46:00,17,3:24:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,2:54:00,27,6:49:00,26,10:26:00,22,15:06:00,21,21:07:00,19,25:08:00,19,27:28:00,17,34:22:00,17,39:54:00,15,43:40:00,13,47:04:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,8th Unlimited,"Alexandre Leonard
Yusuf Johnson
Cohl Brazil
Jhet Brazil
TC Leonard Philippe
TC Doug Brazil",121,9:00, ,11:35:00,,15:25:00,,18:52:00,,23:18:00,,5:09:00,,9:22:00,,11:43:00,,17:45:00,,23:12:00,,4:37:00,,8:32:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,13,2:35:00,14,3:50:00,13,3:27:00,14,4:26:00,11,5:51:00,20,4:13:00,19,2:21:00,7,6:02:00,11,5:27:00,36,5:25:00,37,3:55:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,13,2:35:00,12,6:25:00,11,9:52:00,11,14:18:00,11,20:09:00,13,24:22:00,14,26:43:00,11,32:45:00,12,38:12:00,14,43:37:00,14,47:32:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2nd Mixed,"Virginia Condie
Shawn Boyett
TC Debbie Richardson
TC Iliana Pena",5,9:00, ,11:33:00,,15:06:00,,18:17:00,,22:16:00,,3:36:00,,7:16:00,,9:23:00,,15:25:00,,20:13:00,,23:52:00,,8:57:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8,2:33:00,4,3:33:00,5,3:11:00,5,3:59:00,6,5:20:00,7,3:40:00,10,2:07:00,6,6:02:00,5,4:48:00,6,3:39:00,95,9:05:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8,2:33:00,5,6:06:00,5,9:17:00,5,13:16:00,5,18:36:00,5,22:16:00,5,24:23:00,5,30:25:00,5,35:13:00,5,38:52:00,15,47:57:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1st USCA C-2,"Brandon Stafford
Bill Stafford
Joseph Bitterly
TC Wade Stafford",29,9:00, ,11:51:00,,15:50:00,,19:27:00,,0:07:00,,6:20:00,,10:38:00,,13:05:00,,19:58:00,,1:48:00,,6:33:00,,9:43:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,27,2:51:00,27,3:59:00,24,3:37:00,20,4:40:00,24,6:13:00,22,4:18:00,24,2:27:00,18,6:53:00,19,5:50:00,20,4:45:00,10,3:10:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,27,2:51:00,29,6:50:00,27,10:27:00,23,15:07:00,25,21:20:00,23,25:38:00,23,28:05:00,20,34:58:00,19,40:48:00,17,45:33:00,16,48:43:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,3rd Mixed,"Libby Geisinger
Matt Sandel
TC Mary Geisinger
TC Eric Whicker",314,9:00, ,11:47:00,,15:47:00,,19:22:00,,23:57:00,,6:15:00,,10:35:00,,13:03:00,,19:58:00,,1:56:00,,6:25:00,,9:45:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,24,2:47:00,29,4:00:00,22,3:35:00,19,4:35:00,26,6:18:00,23,4:20:00,25,2:28:00,21,6:55:00,21,5:58:00,15,4:29:00,16,3:20:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,24,2:47:00,25,6:47:00,25,10:22:00,20,14:57:00,24,21:15:00,22,25:35:00,22,28:03:00,20,34:58:00,20,40:56:00,16,45:25:00,17,48:45:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,9th Unlimited,"Chris Bailey
Will Leeds
Dave Carlson
Mike Dey
Ron Henk out at Palmetto
TC James Shuler
TC Bryon Sarmiento",247,9:00, ,11:33:00,,15:27:00,,18:59:00,,23:43:00,,5:47:00,,9:58:00,,12:18:00,,19:11:00,,0:42:00,,7:34:00,,10:22:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8,2:33:00,22,3:54:00,20,3:32:00,23,4:44:00,20,6:04:00,18,4:11:00,17,2:20:00,19,6:53:00,15,5:31:00,61,6:52:00,5,2:48:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8,2:33:00,14,6:27:00,16,9:59:00,19,14:43:00,18,20:47:00,18,24:58:00,18,27:18:00,16,34:11:00,16,39:42:00,22,46:34:00,18,49:22:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
