,Overall Place,Recognition,Team Members,Boat #,Staples,Luling 90,Palmetto,Gonzales,Hochheim,Cheapside,Cuero 236,Victoria,Swinging Bridge (off Canal Rd),Calhouns RV,Seadrift,Class,Competitors,Team Captions,0,600,1200,1800,2400,3000,3600,4200,4800,5400,6000
20,21,Novice,"Stahl Urban
Carlos Linares

TC William Russell
TC David Pearce",314,0 days 03:10:00,0 days 07:40:00,0 days 11:48:00,0 days 16:46:00,1 days 01:51:00,1 days 06:55:00,1 days 09:56:00,1 days 20:40:00,2 days 03:22:00,2 days 08:08:00,2 days 11:51:00,Novice,['Stahl Urban\nCarlos Linares\n\n'],['William Russell\nTC David Pearce'],-2.823763907144894e-07,52.26795652427199,100.15541044951777,144.513275498342,184.81026368547333,226.00756067561124,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
21,22,Aluminum,"Michael Davidson
Aaron Zwahr

TC Dolly Attwal
TC Vanessa Gill",6708,0 days 03:22:00,0 days 08:03:00,0 days 12:14:00,0 days 17:10:00,1 days 02:25:00,1 days 07:50:00,1 days 11:17:00,1 days 20:13:00,2 days 03:23:00,2 days 08:47:00,2 days 12:12:00,Aluminum,['Michael Davidson\nAaron Zwahr\n\n'],['Dolly Attwal\nTC Vanessa Gill'],-2.823763907144894e-07,50.24001435296535,98.31550103615598,140.57133871380367,183.37529324724784,226.34397063937843,265.30274612311905,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
22,23,Unlimited,"John Mark Harras
Bobby Smart
Egan Gyldenege
Andrew Davis
Tim Curry
Larry St Clair

TC Josephine Harras
TC Jesse Hazelwood",807,0 days 03:03:00,0 days 07:06:00,0 days 10:52:00,0 days 15:29:00,1 days 00:33:00,1 days 06:10:00,1 days 09:16:00,1 days 19:07:00,2 days 02:23:00,2 days 09:18:00,2 days 13:01:00,Unlimited,['John Mark Harras\nBobby Smart\nEgan Gyldenege\nAndrew Davis\nTim Curry\nLarry St Clair\n\n'],['Josephine Harras\nTC Jesse Hazelwood'],-2.823763907144894e-07,56.50181608111245,105.4242004980371,148.29774989161328,189.37235130040963,230.65073549473297,262.5091416677436,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
23,24,Mixed Tandem Unlimited,"Clay Wyatt
Payton Wyatt

TC Jill Wyatt
TC Steven McCormick",143,0 days 03:04:00,0 days 07:24:00,0 days 11:25:00,0 days 16:29:00,1 days 01:14:00,1 days 06:34:00,1 days 09:44:00,1 days 18:41:00,2 days 02:28:00,2 days 08:22:00,2 days 13:06:00,Mixed Tandem Unlimited,['Clay Wyatt\nPayton Wyatt\n\n'],['Jill Wyatt\nTC Steven McCormick'],-2.823763907144894e-07,53.974458338621844,101.85765039973597,146.38167502471092,190.01209629137196,230.42952275822196,263.04378667060064,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
24,25,Unlimited,"Ed Wagner
Deb Brax
Kevin Berl
John Vermilyea

TC Rich Butts
TC Teresa Stout",73,0 days 03:07:00,0 days 07:38:00,0 days 11:53:00,0 days 16:48:00,1 days 01:51:00,1 days 07:19:00,1 days 10:21:00,1 days 20:33:00,2 days 03:23:00,2 days 09:44:00,2 days 13:28:00,Unlimited,['Ed Wagner\nDeb Brax\nKevin Berl\nJohn Vermilyea\n\n'],['Rich Butts\nTC Teresa Stout'],-2.823763907144894e-07,52.11019565623814,100.06751694637526,143.0136575267104,184.37491146828006,226.05487658495608,260.9588704570144,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
25,26,Solo Unlimited Man,"Cody Taylor

TC Hilary Taylor
TC Rocco Moses",1431,0 days 03:03:00,0 days 07:25:00,0 days 11:41:00,0 days 16:40:00,1 days 01:27:00,1 days 07:04:00,1 days 10:16:00,1 days 19:56:00,2 days 03:22:00,2 days 09:01:00,2 days 13:30:00,Solo Unlimited Man,['Cody Taylor\n\n'],['Hilary Taylor\nTC Rocco Moses'],-2.823763907144894e-07,53.11212180954478,101.02774694664869,144.28833190904206,185.88501999836737,226.625419140846,261.7161714261357,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
26,27,Unlimited,"Daniel Currey
Greg Frank
Austin Bodin
Will Parrish

TC Heather Currey
TC Miranda Wait",667,0 days 03:10:00,0 days 07:43:00,0 days 12:03:00,0 days 16:59:00,1 days 01:59:00,1 days 07:25:00,1 days 10:33:00,1 days 19:55:00,2 days 03:58:00,2 days 10:07:00,2 days 13:59:00,Unlimited,['Daniel Currey\nGreg Frank\nAustin Bodin\nWill Parrish\n\n'],['Heather Currey\nTC Miranda Wait'],-2.823763907144894e-07,51.49304276275672,99.38553194618856,142.51616187255112,185.45132150613057,224.7694143805575,259.398732905555,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
27,28,Solo Unlimited Man,"Joshua Halloran

TC Lauren Halloran
TC Nate Dicks",2213,0 days 03:03:00,0 days 07:40:00,0 days 11:58:00,0 days 16:24:00,1 days 01:12:00,1 days 07:39:00,1 days 10:45:00,1 days 19:54:00,2 days 03:15:00,2 days 10:19:00,2 days 14:11:00,Solo Unlimited Man,['Joshua Halloran\n\n'],['Lauren Halloran\nTC Nate Dicks'],-2.823763907144894e-07,51.816929633631304,102.12391418530298,142.6393249437727,185.13990866774648,227.04876919653108,258.7266736526187,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
28,29,Tandem Unlimited,"Cooper Knight
Dustin Skogman

TC Justin Emerson
TC Dylan Skogman",302,0 days 03:15:00,0 days 07:54:00,0 days 12:12:00,0 days 17:11:00,1 days 01:59:00,1 days 07:49:00,1 days 11:25:00,1 days 21:16:00,2 days 04:46:00,2 days 11:00:00,2 days 14:57:00,Tandem Unlimited,['Cooper Knight\nDustin Skogman\n\n'],['Justin Emerson\nTC Dylan Skogman'],-2.823763907144894e-07,50.69838294484242,98.8256918414949,141.24775053633343,180.95985039704354,220.94433613400125,256.359578878827,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
29,30,Solo Unlimited Man,"Jay Berger

TC Nadira Bakar
TC Jack Janecek",712,0 days 02:54:00,0 days 07:05:00,0 days 10:58:00,0 days 15:28:00,1 days 00:06:00,1 days 05:20:00,1 days 08:24:00,2 days 01:10:00,2 days 07:34:00,2 days 11:57:00,2 days 15:04:00,Solo Unlimited Man,['Jay Berger\n\n'],['Nadira Bakar\nTC Jack Janecek'],-2.823763907144894e-07,56.11349309485901,106.4221972102082,152.0806672547342,180.49609778509753,205.56502708175617,253.2786211258071,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
