,,,,,,,,,,2012 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Legend,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,,,,,,
73,5th Aluminum,505,"Steven Markowski 
Michael Markowski 
TC - Arianne Stallard",9:00, ,12:41:00, ,17:38:00, ,23:00:00, ,7:13:00, ,16:26:00, ,22:58:00, ,6:46:00, ,18:27:00, ,7:03:00, ,13:32:00, ,20:11:00,,,,,
,,,,,78,3:41:00,92,4:57:00,83,5:22:00,84,8:13:00,68,9:13:00,64,6:32:00,100,7:48:00,63,11:41:00,92,12:36:00,67,6:29:00,51,6:39:00,,,,,
,,,,,78,3:41:00,85,8:38:00,85,14:00:00,79,22:13:00,74,31:26:00,70,37:58:00,68,45:46:00,68,57:27:00,74,70:03:00,73,76:32:00,73,83:11:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,13th Mens Solo,9969,"Michael McGuire 
TC - Michael McGuire",9:00, ,12:42:00, ,17:03:00, ,0:09:00, ,7:16:00, ,15:42:00, ,21:55:00, ,9:06:00, ,19:45:00, ,3:39:00, ,14:10:00, ,20:11:30,,,,,
,,,,,79,3:42:00,58,4:21:00,105,7:06:00,72,7:07:00,53,8:26:00,60,6:13:00,106,11:11:00,46,10:39:00,54,7:54:00,93,10:31:00,37,6:01:30,,,,,
,,,,,79,3:42:00,64,8:03:00,95,15:09:00,81,22:16:00,70,30:42:00,65,36:55:00,81,48:06:00,76,58:45:00,66,66:39:00,76,77:10:00,74,83:11:30,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,10th Novice,10,"Stephen Tatum 
Jason Boatright 
TC - Trey Fly",9:00, ,12:43:00, ,17:39:00, ,22:47:00, ,6:39:00, ,16:50:00, ,0:30:00, ,8:24:00, ,20:39:00, ,7:05:00, ,13:57:00, ,20:53:00,,,,,
,,,,,81,3:43:00,89,4:56:00,76,5:08:00,81,7:52:00,87,10:11:00,77,7:40:00,101,7:54:00,72,12:15:00,78,10:26:00,72,6:52:00,54,6:56:00,,,,,
,,,,,81,3:43:00,86,8:39:00,78,13:47:00,73,21:39:00,76,31:50:00,71,39:30:00,76,47:24:00,78,59:39:00,75,70:05:00,75,76:57:00,75,83:53:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,10th Tandem Unl,409,"Marshall Kitchens 
Donald Kitchens 
TC - Mark Martyn",9:00, ,12:36:00, ,16:51:00, ,21:40:00, ,8:28:00, ,19:14:00, ,6:57:00, ,10:18:00, ,21:27:00, ,11:09:00, ,17:49:00, ,21:43:00,,,,,
,,,,,70,3:36:00,52,4:15:00,67,4:49:00,110,10:48:00,94,10:46:00,100,11:43:00,53,3:21:00,54,11:09:00,99,13:42:00,70,6:40:00,8,3:54:00,,,,,
,,,,,70,3:36:00,57,7:51:00,61,12:40:00,84,23:28:00,86,34:14:00,90,45:57:00,86,49:18:00,79,60:27:00,83,74:09:00,83,80:49:00,76,84:43:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,14th Mens Solo,1258,"William Siersdorfer 
TC - Gerald Kennedy",9:00, ,13:16:00, ,18:40:00, ,1:13:00, ,10:17:00, ,20:35:00, ,5:20:00, ,10:09:00, ,0:15:00, ,8:26:00, ,17:10:00, ,22:02:00,,,,,
,,,,,112,4:16:00,110,5:24:00,101,6:33:00,95,9:04:00,89,10:18:00,83,8:45:00,93,4:49:00,87,14:06:00,60,8:11:00,88,8:44:00,25,4:52:00,,,,,
,,,,,112,4:16:00,110,9:40:00,101,16:13:00,96,25:17:00,94,35:35:00,83,44:20:00,85,49:09:00,89,63:15:00,80,71:26:00,80,80:10:00,77,85:02:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,15th Mens Solo,708,"William Stafford 
TC - Wade Stafford",9:00, ,13:10:00, ,17:46:00, ,22:53:00, ,6:28:00, ,15:30:00, ,22:11:00, ,3:45:00, ,14:26:00, ,0:03:00, ,10:53:00, ,22:34:00,,,,,
,,,,,102,4:10:00,70,4:36:00,75,5:07:00,79,7:35:00,64,9:02:00,66,6:41:00,99,5:34:00,47,10:41:00,75,9:37:00,94,10:50:00,87,11:41:00,,,,,
,,,,,102,4:10:00,89,8:46:00,83,13:53:00,72,21:28:00,68,30:30:00,69,37:11:00,63,42:45:00,59,53:26:00,61,63:03:00,64,73:53:00,78,85:34:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,11th Tandem Unl,717,"David Carlson 
Chris Ruiz 
TC - Dick King",9:00, ,12:36:00, ,17:16:00, ,7:39:00, ,14:18:00, ,6:29:00, ,11:55:00, ,14:56:00, ,6:15:00, ,13:11:00, ,19:01:00, ,22:39:00,,,,,
,,,,,70,3:36:00,77,4:40:00,124,14:23:00,66,6:39:00,107,16:11:00,40,5:26:00,33,3:01:00,97,15:19:00,30,6:56:00,55,5:50:00,5,3:38:00,,,,,
,,,,,70,3:36:00,74,8:16:00,122,22:39:00,107,29:18:00,104,45:29:00,100,50:55:00,97,53:56:00,94,69:15:00,89,76:11:00,87,82:01:00,79,85:39:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,6th Aluminum,837,"Michael Martin 
Quanah Martin 
TC - Pamela Martin",9:00, ,13:05:00, ,18:16:00, ,0:04:00, ,10:52:00, ,20:51:00, ,10:15:00, ,14:12:00, ,3:26:00, ,11:33:00, ,17:34:00, ,23:51:00,,,,,
,,,,,99,4:05:00,104,5:11:00,93,5:48:00,111,10:48:00,80,9:59:00,106,13:24:00,74,3:57:00,83,13:14:00,57,8:07:00,59,6:01:00,45,6:17:00,,,,,
,,,,,99,4:05:00,102,9:16:00,94,15:04:00,101,25:52:00,95,35:51:00,98,49:15:00,95,53:12:00,92,66:26:00,85,74:33:00,82,80:34:00,80,86:51:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,13th Unlimited,45,"Donald Garcia 
Michael Huebner 
Johannes Brinkmann 
Bryan Kennard 
TC - Becky Garcia",9:00, ,13:14:00, ,18:26:00, ,1:26:00, ,8:57:00, ,20:56:00, ,7:51:00, ,12:22:00, ,23:51:00, ,11:50:00, ,18:44:00, ,0:43:00,,,,,
,,,,,109,4:14:00,105,5:12:00,104,7:00:00,76,7:31:00,99,11:59:00,96,10:55:00,87,4:31:00,61,11:29:00,89,11:59:00,73,6:54:00,36,5:59:00,,,,,
,,,,,109,4:14:00,104,9:26:00,102,16:26:00,90,23:57:00,97,35:56:00,94,46:51:00,92,51:22:00,87,62:51:00,86,74:50:00,86,81:44:00,81,87:43:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,3rd Womens Solo,1492,"Nancy Bowers 
TC - Gail Moore",9:00, ,13:05:00, ,17:51:00, ,1:27:00, ,10:19:00, ,19:30:00, ,2:45:00, ,7:54:00, ,22:20:00, ,7:20:00, ,17:29:00, ,1:31:00,,,,,
,,,,,99,4:05:00,82,4:46:00,108,7:36:00,91,8:52:00,66,9:11:00,74,7:15:00,96,5:09:00,89,14:26:00,69,9:00:00,92,10:09:00,64,8:02:00,,,,,
,,,,,99,4:05:00,93,8:51:00,103,16:27:00,97,25:19:00,88,34:30:00,73,41:45:00,75,46:54:00,80,61:20:00,77,70:20:00,81,80:29:00,82,88:31:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,6th USCA C1,620,"Zoltan Mraz 
TC - Irene Moore",9:00, ,12:52:00, ,17:51:00, ,23:08:00, ,8:51:00, ,18:54:00, ,6:52:00, ,10:37:00, ,22:58:00, ,11:13:00, ,19:31:00, ,3:52:00,,,,,
,,,,,91,3:52:00,95,4:59:00,80,5:17:00,103,9:43:00,83,10:03:00,102,11:58:00,68,3:45:00,74,12:21:00,90,12:15:00,85,8:18:00,72,8:21:00,,,,,
,,,,,91,3:52:00,93,8:51:00,87,14:08:00,88,23:51:00,85,33:54:00,89,45:52:00,88,49:37:00,83,61:58:00,84,74:13:00,88,82:31:00,83,90:52:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,16th Mens Solo,1115,"Shane Perrin 
TC - Michael Rockos",9:00, ,12:55:00, ,17:46:00, ,23:04:00, ,8:32:00, ,19:31:00, ,5:55:00, ,10:04:00, ,23:47:00, ,12:32:00, ,19:50:00, ,3:54:00,,,,,
,,,,,95,3:55:00,85,4:51:00,81,5:18:00,98,9:28:00,95,10:59:00,92,10:24:00,79,4:09:00,86,13:43:00,93,12:45:00,78,7:18:00,67,8:04:00,,,,,
,,,,,95,3:55:00,89,8:46:00,86,14:04:00,85,23:32:00,89,34:31:00,85,44:55:00,83,49:04:00,85,62:47:00,88,75:32:00,89,82:50:00,84,90:54:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,17th Mens Solo,2001,"Norm Thomas 
TC - Brenda Thomas",9:00, ,13:30:00, ,18:49:00, ,1:32:00, ,9:53:00, ,21:08:00, ,5:24:00, ,10:06:00, ,23:45:00, ,13:56:00, ,20:10:00, ,4:25:00,,,,,
,,,,,118,4:30:00,109,5:19:00,102,6:43:00,86,8:21:00,96,11:15:00,82,8:16:00,91,4:42:00,85,13:39:00,101,14:11:00,62,6:14:00,68,8:15:00,,,,,
,,,,,118,4:30:00,114,9:49:00,104,16:32:00,94,24:53:00,98,36:08:00,84,44:24:00,84,49:06:00,84,62:45:00,91,76:56:00,90,83:10:00,85,91:25:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,7th Aluminum,50,"Bill McCanse
TC - RaeAnn McCanse",9:00, ,12:27:00, ,17:24:00, ,22:50:00, ,10:43:00, ,21:15:00, ,7:06:00, ,11:17:00, ,0:02:00, ,13:16:00, ,20:26:00, ,6:20:00,,,,,
,,,DNF - Rick Gill,,60,3:27:00,93,4:57:00,88,5:26:00,114,11:53:00,92,10:32:00,86,9:51:00,81,4:11:00,82,12:45:00,97,13:14:00,75,7:10:00,78,9:54:00,,,,,
,,,,,60,3:27:00,78,8:24:00,80,13:50:00,99,25:43:00,99,36:15:00,91,46:06:00,90,50:17:00,88,63:02:00,90,76:16:00,91,83:26:00,86,93:20:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,6th USCA C2,410,"Tim Osburn 
Timothy Osburn 
TC - Jeff Lamb",9:00, ,13:30:00, ,19:29:00, ,1:36:00, ,10:31:00, ,20:52:00, ,7:25:00, ,11:13:00, ,23:47:00, ,10:09:00, ,17:07:00, ,6:31:00,,,,,
,,,,,118,4:30:00,124,5:59:00,95,6:07:00,93,8:55:00,90,10:21:00,93,10:33:00,69,3:48:00,78,12:34:00,77,10:22:00,74,6:58:00,91,13:24:00,,,,,
,,15 min penalty for lost life jacket,,,118,4:30:00,123,10:29:00,105,16:36:00,98,25:31:00,96,35:52:00,92,46:25:00,89,50:13:00,85,62:47:00,81,73:09:00,79,80:07:00,87,93:31:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,8th Aluminum,1984,"Omar Garcia 
Jonathan Garcia 
TC - Elizabeth Garcia",9:00, ,12:50:00, ,17:30:00, ,22:52:00, ,9:04:00, ,19:14:00, ,6:08:00, ,10:35:00, ,22:48:00, ,12:05:00, ,18:43:00, ,6:47:00,,,,,
,,,,,87,3:50:00,77,4:40:00,83,5:22:00,105,10:12:00,86,10:10:00,95,10:54:00,86,4:27:00,71,12:13:00,98,13:17:00,69,6:38:00,90,12:04:00,,,,,
,,,,,87,3:50:00,80,8:30:00,82,13:52:00,91,24:04:00,86,34:14:00,88,45:08:00,87,49:35:00,82,61:48:00,87,75:05:00,85,81:43:00,88,93:47:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,14th Unlimited,54,"Riley Yung 
Terry Yung 
Michael Howard 
TC - Ken Yung",9:00, ,12:53:00, ,17:54:00, ,5:27:00, ,12:32:00, ,23:48:00, ,9:25:00, ,13:20:00, ,1:25:00, ,15:26:00, ,23:27:00, ,7:01:00,,,,,
,,,,,92,3:53:00,96,5:01:00,118,11:33:00,71,7:05:00,97,11:16:00,85,9:37:00,71,3:55:00,68,12:05:00,100,14:01:00,84,8:01:00,60,7:34:00,,,,,
,,,,,92,3:53:00,95,8:54:00,112,20:27:00,104,27:32:00,100,38:48:00,96,48:25:00,94,52:20:00,90,64:25:00,93,78:26:00,93,86:27:00,89,94:01:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,18th Mens Solo,6185,"Michael Musselman 
TC - Dan Musselman",9:00, ,13:00:00, ,18:07:00, ,23:43:00, ,7:09:00, ,17:20:00, ,3:20:00, ,7:31:00, ,22:20:00, ,7:28:00, ,15:15:00, ,7:05:00,,,,,
,,,,,97,4:00:00,101,5:07:00,89,5:36:00,75,7:26:00,88,10:11:00,87,10:00:00,81,4:11:00,93,14:49:00,70,9:08:00,82,7:47:00,93,15:50:00,,,,,
,,,,,97,4:00:00,100,9:07:00,92,14:43:00,77,22:09:00,78,32:20:00,75,42:20:00,74,46:31:00,80,61:20:00,78,70:28:00,78,78:15:00,90,94:05:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,12th Tandem Unl,6062,"John Valdivia 
Santiago Marroquin 
TC - Tim Oneill",9:00, ,12:40:00, ,17:34:00, ,22:54:00, ,8:51:00, ,19:33:00, ,10:02:00, ,14:17:00, ,1:36:00, ,14:42:00, ,21:16:00, ,8:19:00,,,,,
,,,,,76,3:40:00,87,4:54:00,82,5:20:00,104,9:57:00,93,10:42:00,107,14:29:00,84,4:15:00,59,11:19:00,96,13:06:00,68,6:34:00,82,11:03:00,,,,,
,,,,,76,3:40:00,83,8:34:00,84,13:54:00,87,23:51:00,90,34:33:00,97,49:02:00,96,53:17:00,91,64:36:00,92,77:42:00,92,84:16:00,91,95:19:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,11th Novice,311,"John Moore 
Kevin Jonas 
TC - Larry St Clair",9:00, ,12:47:00, ,17:49:00, ,0:11:00, ,7:15:00, ,17:20:00, ,3:20:00, ,7:29:00, ,19:37:00, ,10:42:00, ,18:11:00, ,8:28:00,,,,,
,,,,,85,3:47:00,97,5:02:00,100,6:22:00,70,7:04:00,84,10:05:00,87,10:00:00,79,4:09:00,70,12:08:00,102,15:05:00,81,7:29:00,92,14:17:00,,,,,
,,,,,85,3:47:00,92,8:49:00,96,15:11:00,80,22:15:00,78,32:20:00,75,42:20:00,73,46:29:00,75,58:37:00,82,73:42:00,84,81:11:00,92,95:28:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,4th Womens Solo,5862,"Myla Weber 
TC - Harry Weber",9:00, ,12:53:00, ,17:57:00, ,23:38:00, ,7:03:00, ,19:33:00, ,7:35:00, ,11:28:00, ,5:53:00, ,15:29:00, ,1:23:00, ,8:30:00,,,,,
,,,,,92,3:53:00,98,5:04:00,91,5:41:00,74,7:25:00,100,12:30:00,103,12:02:00,70,3:53:00,103,18:25:00,73,9:36:00,90,9:54:00,56,7:07:00,,,,,
,,,,,92,3:53:00,98,8:57:00,91,14:38:00,75,22:03:00,90,34:33:00,93,46:35:00,91,50:28:00,93,68:53:00,94,78:29:00,94,88:23:00,93,95:30:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,13th Tandem Unl,9009,"CJ Hall 
Michael Cade 
TC - Lorna Hall",9:00, ,13:12:00, ,18:26:00, ,2:34:00, ,15:35:00, ,7:20:00, ,13:34:00, ,17:29:00, ,10:46:00, ,20:12:00, ,8:15:00, ,12:27:00,,,,,
,,,,,107,4:12:00,107,5:14:00,109,8:08:00,117,13:01:00,106,15:45:00,61,6:14:00,72,3:55:00,101,17:17:00,72,9:26:00,95,12:03:00,12,4:12:00,,,,,
,,,,,107,4:12:00,104,9:26:00,109,17:34:00,112,30:35:00,108,46:20:00,103,52:34:00,100,56:29:00,100,73:46:00,98,83:12:00,95,95:15:00,94,99:27:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,151,"Colin Dodd
John Peterek
Matt Wise
Porter Robinson
TC - Jim Clark",9:00, ,12:02:00, ,16:05:00, ,20:06:00, ,1:29:00, ,8:48:00, ,13:48:00, ,17:05:00, ,5:39:00, ,12:07:00, ,18:18:00,,,,,,,
,,,,,33,3:02:00,38,4:03:00,39,4:01:00,40,5:23:00,35,7:19:00,36,5:00:00,47,3:17:00,79,12:34:00,21,6:28:00,61,6:11:00,,,,,,,
,,,,,33,3:02:00,36,7:05:00,35,11:06:00,38,16:29:00,35,23:48:00,36,28:48:00,37,32:05:00,37,44:39:00,35,51:07:00,35,57:18:00,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,2112,"Mike Smith
TC - Johanna Smith",9:00, ,13:30:00, ,19:04:00, ,5:52:00, ,14:50:00, ,4:56:00, ,11:48:00, ,15:45:00, ,6:54:00, ,16:30:00,,,,,,,,,
,,,,,118,4:30:00,116,5:34:00,114,10:48:00,94,8:58:00,103,14:06:00,71,6:52:00,73,3:57:00,95,15:09:00,74,9:36:00,,,,,,,,,
,,,,,118,4:30:00,121,10:04:00,114,20:52:00,110,29:50:00,102,43:56:00,99,50:48:00,98,54:45:00,95,69:54:00,95,79:30:00,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,2930,"Brandon Hegdecock
Chris Karl
TC - Megan Hedgecock",9:00, ,13:14:00, ,18:44:00, ,6:58:00, ,2:16:00, ,23:48:00, ,12:25:00, ,16:01:00, ,8:05:00, ,16:30:00,,,,,,,,,
,,,,,109,4:14:00,115,5:30:00,120,12:14:00,118,19:18:00,110,21:32:00,104,12:37:00,60,3:36:00,99,16:04:00,63,8:25:00,,,,,,,,,
,,,,,109,4:14:00,111,9:44:00,121,21:58:00,118,41:16:00,110,62:48:00,108,75:25:00,106,79:01:00,103,95:05:00,102,103:30:00,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,762,"Andrew Davis
Michael Matthews
TC - Jim Buckner",9:00, ,13:10:00, ,18:37:00, ,0:47:00, ,13:41:00, ,7:11:00, ,13:25:00, ,18:02:00, ,9:22:00, ,18:12:00,,,,,,,,,
,,,,,102,4:10:00,111,5:27:00,96,6:10:00,116,12:54:00,109,17:30:00,61,6:14:00,89,4:37:00,98,15:20:00,67,8:50:00,,,,,,,,,
,,,,,102,4:10:00,108,9:37:00,99,15:47:00,106,28:41:00,106,46:11:00,102,52:25:00,101,57:02:00,96,72:22:00,96,81:12:00,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,1212,"Lynne Andrus
Paula Scotney-Castle
TC - Lynn Vance",9:00, ,13:32:00, ,19:20:00, ,2:35:00, ,14:23:00, ,4:15:00, ,14:38:00, ,19:18:00, ,9:31:00, ,18:51:00,,,,,,,,,
,,,,,121,4:32:00,120,5:48:00,106,7:15:00,113,11:48:00,102,13:52:00,91,10:23:00,90,4:40:00,88,14:13:00,71,9:20:00,,,,,,,,,
,,,,,121,4:32:00,122,10:20:00,110,17:35:00,109,29:23:00,101,43:15:00,105,53:38:00,102,58:18:00,97,72:31:00,97,81:51:00,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,1313,"Tim Weitz
Doug Simmer
TC - Jeff McDonald",9:00, ,14:00:00, ,19:49:00, ,8:03:00, ,16:49:00, ,7:11:00, ,14:51:00, ,19:52:00, ,10:30:00, ,21:51:00,,,,,,,,,
,,,,,128,5:00:00,121,5:49:00,121,12:14:00,90,8:46:00,104,14:22:00,76,7:40:00,95,5:01:00,91,14:38:00,80,11:21:00,,,,,,,,,
,,,,,128,5:00:00,126,10:49:00,123,23:03:00,115,31:49:00,106,46:11:00,107,53:51:00,105,58:52:00,99,73:30:00,99,84:51:00,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,113,"Jesse Obrien
Matthew Martinec
TC - Tom Martinec",9:00, ,13:48:00, ,20:17:00, ,6:57:00, ,17:12:00, ,6:53:00, ,14:49:00, ,19:39:00, ,10:18:00, ,23:19:00,,,,,,,,,
,,,,,127,4:48:00,127,6:29:00,113,10:40:00,106,10:15:00,101,13:41:00,79,7:56:00,94,4:50:00,92,14:39:00,94,13:01:00,,,,,,,,,
,,,,,127,4:48:00,128,11:17:00,120,21:57:00,117,32:12:00,105,45:53:00,106,53:49:00,104,58:39:00,98,73:18:00,100,86:19:00,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,408,"Richard Linden
TC - Rick Baltzoa",9:00, ,13:24:00, ,18:38:00, ,6:16:00, ,14:21:00, ,4:56:00, ,12:24:00, ,16:30:00, ,10:50:00, ,23:53:00,,,,,,,,,
,,,,,116,4:24:00,106,5:14:00,119,11:38:00,82,8:05:00,105,14:35:00,75,7:28:00,78,4:06:00,102,18:20:00,95,13:03:00,,,,,,,,,
,,,,,116,4:24:00,109,9:38:00,117,21:16:00,108,29:21:00,102,43:56:00,101,51:24:00,99,55:30:00,101,73:50:00,101,86:53:00,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,338,"Ben Keating
TC - Susie Keating",9:00, ,13:27:00, ,19:30:00, ,6:38:00, ,14:50:00, ,7:31:00, ,14:10:00, ,19:39:00, ,10:57:00,,,,,,,,,,,
,,,,,117,4:27:00,125,6:03:00,116,11:08:00,83,8:12:00,108,16:41:00,65,6:39:00,98,5:29:00,96,15:18:00,,,,,,,,,,,
,,,,,117,4:27:00,124,10:30:00,119,21:38:00,110,29:50:00,109,46:31:00,104,53:10:00,103,58:39:00,102,73:57:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,4031,"Stephanie Solansky
Frank Solansky
TC - Joseph Klein",9:00, ,13:11:00, ,18:21:00, ,2:55:00, ,11:11:00, ,20:00:00, ,8:45:00, ,13:00:00,,,,,,,,,,,,,
,,,,,105,4:11:00,103,5:10:00,110,8:34:00,85,8:16:00,59,8:49:00,105,12:45:00,84,4:15:00,,,,,,,,,,,,,
,,,,,105,4:11:00,103,9:21:00,111,17:55:00,102,26:11:00,93,35:00:00,95,47:45:00,93,52:00:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,14,"Tim Anglin
TC - Mike Joiner",9:00, ,12:02:00, ,15:51:00, ,19:36:00, ,0:14:00, ,6:29:00, ,10:51:00, ,13:32:00,,,,,,,,,,,,,
,,,,,33,3:02:00,26,3:49:00,27,3:45:00,20,4:38:00,12,6:15:00,17,4:22:00,21,2:41:00,,,,,,,,,,,,,
,,,,,33,3:02:00,27,6:51:00,28,10:36:00,26,15:14:00,19,21:29:00,17,25:51:00,18,28:32:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,8005,"Richard Ameen
TC - Alex Ameen",9:00, ,12:01:00, ,15:54:00, ,19:51:00, ,0:44:00, ,7:39:00, ,12:26:00, ,15:35:00,,,,,,,,,,,,,
,,,,,30,3:01:00,31,3:53:00,34,3:57:00,29,4:53:00,26,6:55:00,30,4:47:00,39,3:09:00,,,,,,,,,,,,,
,,,,,30,3:01:00,30,6:54:00,33,10:51:00,31,15:44:00,32,22:39:00,31,27:26:00,32,30:35:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,1234,"Julio Lucero
Will Wolfe
TC - Tim D'Brass",9:00, ,12:27:00, ,17:06:00, ,21:39:00, ,4:04:00, ,14:30:00, ,20:26:00,,,,,,,,,,,,,,,
,,,,,60,3:27:00,76,4:39:00,59,4:33:00,63,6:25:00,91,10:26:00,50,5:56:00,,,,,,,,,,,,,,,
,,,,,60,3:27:00,65,8:06:00,59,12:39:00,63,19:04:00,64,29:30:00,59,35:26:00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,333,"Jeff Meares
David Alello
TC - James Meares",9:00, ,13:10:00, ,17:55:00, ,23:47:00, ,8:51:00, ,18:34:00, ,0:45:00,,,,,,,,,,,,,,,
,,,,,102,4:10:00,81,4:45:00,94,5:52:00,95,9:04:00,78,9:43:00,59,6:11:00,,,,,,,,,,,,,,,
,,,,,102,4:10:00,96,8:55:00,93,14:47:00,88,23:51:00,84,33:34:00,72,39:45:00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,105,"Vance Flores
Jonathan Ferguson
TC - Emily Carlile",9:00, ,12:33:00, ,18:26:00, ,22:01:00, ,4:44:00, ,14:14:00,,,,,,,,,,,,,,,,,
,,,,,66,3:33:00,122,5:53:00,14,3:35:00,67,6:43:00,75,9:30:00,,,,,,,,,,,,,,,,,
,,,,,66,3:33:00,104,9:26:00,68,13:01:00,64,19:44:00,63,29:14:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,2314,"Jonathan Arendt
James Kancewick
TC - Hank Arendt",9:00, ,13:47:00, ,17:12:00, ,2:27:00, ,12:03:00, ,19:54:00,,,,,,,,,,,,,,,,,
,,,,,126,4:47:00,9,3:25:00,111,9:15:00,101,9:36:00,41,7:51:00,,,,,,,,,,,,,,,,,
,,,,,126,4:47:00,72,8:12:00,108,17:27:00,103,27:03:00,92,34:54:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,2012,"Kennith Startz
TC - Nick Startz",9:00, ,12:07:00, ,16:02:00, ,19:50:00, ,0:46:00,,,,,,,,,,,,,,,,,,,
,,,,,42,3:07:00,35,3:55:00,29,3:48:00,33,4:56:00,,,,,,,,,,,,,,,,,,,
,,,,,42,3:07:00,34,7:02:00,32,10:50:00,33,15:46:00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,22,"Brad Ellis
Ian Rolls
TC - Lisa Rivera",9:00, ,12:03:00, ,16:12:00, ,20:18:00, ,2:10:00,,,,,,,,,,,,,,,,,,,
,,,,,36,3:03:00,47,4:09:00,43,4:06:00,55,5:52:00,,,,,,,,,,,,,,,,,,,
,,,,,36,3:03:00,42,7:12:00,41,11:18:00,47,17:10:00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,2209,"Michael Tecci
Max Hambly
TC - Jeff Jouett",9:00, ,12:14:00, ,16:52:00, ,21:11:00, ,2:56:00,,,,,,,,,,,,,,,,,,,
,,,,,50,3:14:00,75,4:38:00,52,4:19:00,51,5:45:00,,,,,,,,,,,,,,,,,,,
,,,,,50,3:14:00,58,7:52:00,56,12:11:00,54,17:56:00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,2468,"Daniel Gideon
TC - Tiffany Marconi",9:00, ,12:53:00, ,18:32:00, ,0:43:00, ,10:16:00,,,,,,,,,,,,,,,,,,,
,,,,,92,3:53:00,117,5:39:00,97,6:11:00,99,9:33:00,,,,,,,,,,,,,,,,,,,
,,,,,92,3:53:00,107,9:32:00,98,15:43:00,95,25:16:00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
