,,,,,,,,,,2012 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Legend,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,,,,,,
,,6 hr penalty at Seadrift,,,8,2:31:00,11,3:36:00,10,3:22:00,5,3:57:00,5,5:33:00,6,3:50:00,4,2:04:00,9,6:40:00,9,5:26:00,6,3:39:00,84,11:11:00,,,,,
,,,,,8,2:31:00,10,6:07:00,10,9:29:00,9,13:26:00,7,18:59:00,9,22:49:00,7,24:53:00,9,31:33:00,9,36:59:00,9,40:38:00,18,51:49:00,,,,,
,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
19,2nd USCA C2,106,"Edoh Amiran 
Liam Price 
TC - Sue Price",9:00, ,11:55:00, ,15:47:00, ,19:27:00, ,0:05:00, ,7:15:00, ,11:46:00, ,14:30:00, ,22:45:00, ,5:09:00, ,9:37:00, ,14:02:00,,,,,
,,,,,24,2:55:00,30,3:52:00,22,3:40:00,21,4:38:00,30,7:10:00,23,4:31:00,24,2:44:00,25,8:15:00,20,6:24:00,27,4:28:00,17,4:25:00,,,,,
,,,,,24,2:55:00,24,6:47:00,25,10:27:00,21,15:05:00,26,22:15:00,27,26:46:00,26,29:30:00,24,37:45:00,19,44:09:00,19,48:37:00,19,53:02:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2nd Standard,520,"Ben Horsey 
Nathan Tart 
TC - Dwight Tart",9:00, ,11:54:00, ,15:47:00, ,19:28:00, ,0:09:00, ,6:58:00, ,11:43:00, ,14:29:00, ,22:42:00, ,5:30:00, ,9:40:00, ,14:06:00,,,,,
,,,,,23,2:54:00,31,3:53:00,24,3:41:00,24,4:41:00,25,6:49:00,29,4:45:00,26,2:46:00,23,8:13:00,26,6:48:00,21,4:10:00,19,4:26:00,,,,,
,,,,,23,2:54:00,24,6:47:00,26,10:28:00,24,15:09:00,23,21:58:00,25,26:43:00,25,29:29:00,23,37:42:00,20,44:30:00,21,48:40:00,20,53:06:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,3rd Mens Solo,38,"RD Kissling 
TC - Terry Alford",9:00, ,12:01:00, ,15:54:00, ,19:52:00, ,0:44:00, ,7:40:00, ,12:30:00, ,15:44:00, ,23:25:00, ,6:42:00, ,10:28:00, ,15:13:00,,,,,
,,,,,30,3:01:00,31,3:53:00,35,3:58:00,28,4:52:00,27,6:56:00,32,4:50:00,43,3:14:00,19,7:41:00,36,7:17:00,14,3:46:00,23,4:45:00,,,,,
,,,,,30,3:01:00,30,6:54:00,34,10:52:00,31,15:44:00,33,22:40:00,32,27:30:00,33,30:44:00,27,38:25:00,26,45:42:00,25,49:28:00,21,54:13:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,6th Unlimited,8,"Timothy Fuentes 
Christopher Kelter 
John Dunn 
Woody Green 
TC - Rob Harvey",9:00, ,12:11:00, ,15:59:00, ,19:49:00, ,0:38:00, ,7:17:00, ,11:33:00, ,14:14:00, ,22:37:00, ,5:44:00, ,9:38:00, ,15:42:00,,,,,
,,,,,48,3:11:00,23,3:48:00,30,3:50:00,27,4:49:00,17,6:39:00,14,4:16:00,21,2:41:00,26,8:23:00,32,7:07:00,17,3:54:00,38,6:04:00,,,,,
,,,,,48,3:11:00,33,6:59:00,31,10:49:00,30,15:38:00,27,22:17:00,23,26:33:00,23,29:14:00,22,37:37:00,22,44:44:00,20,48:38:00,22,54:42:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,3rd Standard,6922,"Paul Ohlemacher 
James Green 
TC - Leo Ohlemacher",9:00, ,11:57:00, ,15:47:00, ,19:26:00, ,0:04:00, ,7:08:00, ,11:30:00, ,14:12:00, ,22:05:00, ,6:28:00, ,10:20:00, ,15:55:00,,,,,
,,,,,26,2:57:00,27,3:50:00,21,3:39:00,21,4:38:00,29,7:04:00,17,4:22:00,23,2:42:00,21,7:53:00,62,8:23:00,16,3:52:00,31,5:35:00,,,,,
,,,,,26,2:57:00,24,6:47:00,24,10:26:00,20,15:04:00,25,22:08:00,21,26:30:00,22,29:12:00,21,37:05:00,25,45:28:00,23,49:20:00,23,54:55:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,4th Mens Solo,1111,"Curtis Slaten 
TC - Kari Slaten",9:00, ,11:51:00, ,15:42:00, ,19:25:00, ,0:08:00, ,6:50:00, ,11:30:00, ,14:09:00, ,21:58:00, ,5:34:00, ,9:55:00, ,16:19:00,,,,,
,,,,,19,2:51:00,28,3:51:00,26,3:43:00,25,4:43:00,23,6:42:00,28,4:40:00,20,2:39:00,20,7:49:00,43,7:36:00,25,4:21:00,48,6:24:00,,,,,
,,,,,19,2:51:00,22,6:42:00,22,10:25:00,23,15:08:00,22,21:50:00,21,26:30:00,21,29:09:00,20,36:58:00,21,44:34:00,22,48:55:00,24,55:19:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,5th Mens Solo,519,"Geoff Waters 
TC - David Froelich",9:00, ,12:07:00, ,15:54:00, ,19:47:00, ,0:23:00, ,7:02:00, ,11:35:00, ,14:25:00, ,23:19:00, ,7:02:00, ,12:17:00, ,16:47:00,,,,,
,,,,,42,3:07:00,22,3:47:00,33,3:53:00,17,4:36:00,18,6:39:00,24,4:33:00,30,2:50:00,28,8:54:00,49,7:43:00,43,5:15:00,20,4:30:00,,,,,
,,,,,42,3:07:00,30,6:54:00,30,10:47:00,28,15:23:00,24,22:02:00,24,26:35:00,24,29:25:00,26,38:19:00,27,46:02:00,29,51:17:00,25,55:47:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,6th Mens Solo,1022,"Phil Bowden 
TC - Robert Bowden",9:00, ,11:38:00, ,15:17:00, ,18:48:00, ,23:17:00, ,5:58:00, ,10:16:00, ,13:03:00, ,21:15:00, ,5:45:00, ,11:04:00, ,19:21:00,,,,,
,,,,,11,2:38:00,13,3:39:00,13,3:31:00,15,4:29:00,21,6:41:00,15,4:18:00,27,2:47:00,22,8:12:00,65,8:30:00,45,5:19:00,69,8:17:00,,,,,
,,,,,11,2:38:00,11,6:17:00,12,9:48:00,12,14:17:00,13,20:58:00,13,25:16:00,14,28:03:00,19,36:15:00,23,44:45:00,26,50:04:00,26,58:21:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,7th Mens Solo,5564,"John Hoffart 
TC - Les Burkhalter",9:00, ,11:57:00, ,15:53:00, ,19:44:00, ,0:46:00, ,7:18:00, ,11:52:00, ,14:40:00, ,23:37:00, ,7:17:00, ,11:57:00, ,19:59:00,,,,,
,,,,,26,2:57:00,36,3:56:00,32,3:51:00,34,5:02:00,15,6:32:00,25,4:34:00,28,2:48:00,29,8:57:00,45,7:40:00,31,4:40:00,65,8:02:00,,,,,
,,,,,26,2:57:00,29,6:53:00,29,10:44:00,33,15:46:00,28,22:18:00,28,26:52:00,28,29:40:00,28,38:37:00,29,46:17:00,28,50:57:00,27,58:59:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,7th Unlimited,3760,"Chuck Stewart 
Charlie Stewart 
Jake Grullon 
TC - Nathan Stewart",9:00, ,11:45:00, ,15:29:00, ,19:20:00, ,0:28:00, ,7:38:00, ,12:09:00, ,14:57:00, ,0:20:00, ,7:16:00, ,11:45:00, ,20:32:00,,,,,
