,,,,,,,,,,,2005 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Legend,,,,,,,,,,,,,,,,
,,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,
,,,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,,,
,,,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,,,
Position,Boat #,Team Members,,Staples,,Luling 90,,,Zedler Dam,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Tivoli,,Seadrift,
DNF,199,Ed Koslosky          Martha Koslosky           Jim Weber                Myla Weber                    TC-Eric Love,9:00, ,12:00:00, ,16:24:00, ,17:27:00, ,20:47:00, ,2:58:00, ,10:56:00, ,15:45:00, ,18:44:00, ,4:48:00, ,10:50:00, ,14:45:00, ,OUT
Unlimited,,,,30,3:00:00,47,4:24:00,19,1:03:00,48,3:20:00,37,6:11:00,40,7:58:00,27,4:49:00,35,2:59:00,41,10:04:00,13,6:02:00,18,3:55:00,,
,,,,30,3:00:00,36,7:24:00,34,8:27:00,36,11:47:00,37,17:58:00,34,25:56:00,32,30:45:00,32,33:44:00,30,43:48:00,25,49:50:00,23,53:45:00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,3760,Chuck Stewart          Charlie Stewart            TC-Nate Stewart,9:00, ,11:29:00, ,14:50:00, ,15:48:00, ,18:12:00, ,22:43:00, ,4:24:00, ,8:20:00, ,10:33:00, ,OUT, ,,,,,
Tandem,,,,6,2:29:00,5,3:21:00,7,0:58:00,5,2:24:00,8,4:31:00,8,5:41:00,6,3:56:00,6,2:13:00,,,,,,,,
,,,,6,2:29:00,5,5:50:00,6,6:48:00,5,9:12:00,6,13:43:00,6,19:24:00,6,23:20:00,6,25:33:00,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,113,Shively Mike                TC-Jim Cheany,9:00, ,11:44:00, ,15:29:00, ,16:30:00, ,19:04:00, ,23:46:00, ,5:47:00, ,10:14:00, ,14:00:00,,OUT,,,,,,
Solo,,,,11,2:44:00,17,3:45:00,12,1:01:00,10,2:34:00,10,4:42:00,10,6:01:00,20,4:27:00,57,3:46:00,,,,,,,,
,,,,11,2:44:00,12,6:29:00,12,7:30:00,12,10:04:00,10,14:46:00,9,20:47:00,10,25:14:00,16,29:00:00,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,5558,Brent Butler                    Bruce Sauser               TC-Brenda Sauser,9:00, ,13:25:00, ,16:52:00, ,20:25:00, ,2:40:00, ,13:02:00, ,2:30:00, ,9:41:00, ,13:13:00, ,OUT, ,,,,,
Aluminum,,,,89,4:25:00,7,3:27:00,87,3:33:00,76,6:15:00,74,10:22:00,76,13:28:00,63,7:11:00,51,3:32:00,,,,,,,,
,,,,89,4:25:00,52,7:52:00,84,11:25:00,76,17:40:00,77,28:02:00,76,41:30:00,70,48:41:00,68,52:13:00,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,639,Zoltan Mraz                             TC-Anita Mraz,9:00, ,11:59:00, ,15:51:00, ,16:56:00, ,20:01:00, ,1:49:00, ,9:10:00, ,14:30:00, ,17:45:00,,OUT,,,,,,
Solo,,,,28,2:59:00,27,3:52:00,23,1:05:00,35,3:05:00,31,5:48:00,27,7:21:00,41,5:20:00,39,3:15:00,,,,,,,,
,,,,28,2:59:00,26,6:51:00,25,7:56:00,29,11:01:00,28,16:49:00,27,24:10:00,27,29:30:00,29,32:45:00,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,1612,Kevin Lutz                          Matt Michaels                   TC-John Michaels,9:00, ,12:20:00, ,16:57:00, ,18:16:00, ,21:38:00, ,4:56:00, ,13:27:00, ,7:27:00, ,21:16:00,,OUT,,,,,,
Novice,,,,51,3:20:00,54,4:37:00,57,1:19:00,49,3:22:00,49,7:18:00,52,8:31:00,78,18:00:00,76,13:49:00,,,,,,,,
,,,,51,3:20:00,54,7:57:00,51,9:16:00,50,12:38:00,46,19:56:00,47,28:27:00,67,46:27:00,76,60:16:00,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,72,John Sullivan                  TC-Tim Wentrecek,9:00, ,12:08:00, ,16:21:00, ,17:39:00, ,20:38:00, ,4:23:00, ,12:27:00, ,20:03:00, ,OUT,,,,,,,,
Solo,,,,34,3:08:00,36,4:13:00,52,1:18:00,33,2:59:00,52,7:45:00,44,8:04:00,64,7:36:00,,,,,,,,,,
,,,,34,3:08:00,34,7:21:00,35,8:39:00,34,11:38:00,43,19:23:00,43,27:27:00,48,35:03:00,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,857,Kenneth Paulsen                TC-Karen Paulsen,9:00, ,12:34:00, ,17:39:00, ,18:54:00, ,22:38:00, ,8:28:00, ,16:47:00, ,10:20:00,,OUT,,,,,,,,
Solo,,,,64,3:34:00,68,5:05:00,45,1:15:00,54,3:44:00,67,9:50:00,48,8:19:00,77,17:33:00,,,,,,,,,,
,,,,64,3:34:00,65,8:39:00,62,9:54:00,59,13:38:00,58,23:28:00,57,31:47:00,72,49:20:00,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,137,Mark Davis                    Roy Tyrone                       TC-Floyd Tyrone,9:00, ,11:44:00, ,15:27:00, ,16:27:00, ,19:05:00, ,0:20:00, ,8:05:00, ,OUT,,,,,,,,,,
USCA C-2,,,,11,2:44:00,15,3:43:00,8,1:00:00,16,2:38:00,23,5:15:00,36,7:45:00,,,,,,,,,,,,
,,,,11,2:44:00,11,6:27:00,11,7:27:00,14,10:05:00,16,15:20:00,24,23:05:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,2010,Jeremy Danson             Mike Hamilton                            TC-Mark Needham,9:00, ,12:17:00, ,16:48:00, ,18:18:00, ,22:17:00, ,8:16:00, ,17:25:00,,OUT,,,,,,,,,,
Aluminum,,,,45,3:17:00,51,4:31:00,77,1:30:00,60,3:59:00,71,9:59:00,64,9:09:00,,,,,,,,,,,,
,,,,45,3:17:00,49,7:48:00,52,9:18:00,53,13:17:00,57,23:16:00,60,32:25:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,5570,Mike Felder                 Brazos Felder              Paul Redman               TC-Paula Felder,9:00, ,13:00:00, ,18:32:00, ,20:13:00, ,1:45:00, ,13:50:00, ,23:00:00,,OUT,,,,,,,,,,
Unlimited,,,,80,4:00:00,83,5:32:00,82,1:41:00,74,5:32:00,80,12:05:00,65,9:10:00,,,,,,,,,,,,
,,,,80,4:00:00,82,9:32:00,80,11:13:00,75,16:45:00,78,28:50:00,74,38:00:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,107,Michael Felchak   Emmett Rhoden             TC-Daren Jarisch,9:00, ,11:58:00, ,15:54:00, ,16:59:00, ,19:39:00, ,12:57:00, ,OUT,,,,,,,,,,,,
Tandem,,,,24,2:58:00,29,3:56:00,23,1:05:00,18,2:40:00,83,17:18:00,,,,,,,,,,,,,,
,,,,24,2:58:00,30,6:54:00,27,7:59:00,24,10:39:00,76,27:57:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,817,Woodrow Courtney     Jason Sutcliffe             TC-William Patrick,9:00, ,13:02:00, ,18:31:00, ,19:56:00, ,7:25:00, ,14:32:00, ,OUT,,,,,,,,,,,,
Tandem,,,,82,4:02:00,80,5:29:00,73,1:25:00,83,11:29:00,46,7:07:00,,,,,,,,,,,,,,
,,,,82,4:02:00,80,9:31:00,77,10:56:00,84,22:25:00,79,29:32:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,510,Pat Stroka                      TC-Tysha Calhoun,9:00, ,13:11:00, ,18:31:00, ,19:49:00, ,7:35:00, ,OUT,,,,,,,,,,,,,,
Solo,,,,85,4:11:00,73,5:20:00,55,1:18:00,85,11:46:00,,,,,,,,,,,,,,,,
,,,,85,4:11:00,80,9:31:00,76,10:49:00,85,22:35:00,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,3,John Hafner                       Scott Schiller                        TC-Tina Hinkley,9:00, ,12:27:00, ,18:05:00, ,19:30:00, ,7:14:00,,OUT,,,,,,,,,,,,,,
Novice,,,,57,3:27:00,84,5:38:00,72,1:25:00,84,11:44:00,,,,,,,,,,,,,,,,
,,,,57,3:27:00,74,9:05:00,72,10:30:00,83,22:14:00,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,6699,Derek Coker                                   Phillip Doskocil                                   TC-Lance Semon,9:00, ,13:18:00, ,19:03:00, ,20:48:00, ,8:07:00,,OUT,,,,,,,,,,,,,,
Tandem,,,,88,4:18:00,86,5:45:00,83,1:45:00,82,11:19:00,,,,,,,,,,,,,,,,
,,,,88,4:18:00,88,10:03:00,86,11:48:00,86,23:07:00,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,220,Alex West                                      Eric West                                          Owen West                                 TC-Diane Baker,9:00, ,12:56:00, ,19:00:00, ,20:51:00, ,OUT,,,,,,,,,,,,,,,,
Unlimited,,,,76,3:56:00,87,6:04:00,84,1:51:00,,,,,,,,,,,,,,,,,,
,,,,76,3:56:00,87,10:00:00,87,11:51:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,213,Louis Gomez                          Jamie Sanderford                 TC-Annie Sanderford,9:00, ,12:14:00, ,16:49:00, ,OUT,,,,,,,,,,,,,,,,,,
USCA C-2,,,,40,3:14:00,53,4:35:00,,,,,,,,,,,,,,,,,,,,
,,,,40,3:14:00,51,7:49:00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,2727,Ian MacGregor                   Jeff Parker                        TC-Janet Parker,9:00, ,12:54:00, ,OUT,,,,,,,,,,,,,,,,,,,,
Tandem,,,,74,3:54:00,,,,,,,,,,,,,,,,,,,,,,
,,,,74,3:54:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,91,Brady Aldrich                             Russell Aldrich                               TC-Terry Aldrich,9:00, ,13:56:00,,OUT,,,,,,,,,,,,,,,,,,,,
Novice,,,,90,4:56:00,,,,,,,,,,,,,,,,,,,,,,
,,,,90,4:56:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,7,Allen Crawford              TC-Buffy Crawford,9:00, ,14:30:00,,OUT,,,,,,,,,,,,,,,,,,,,
Solo,,,,91,5:30:00,,,,,,,,,,,,,,,,,,,,,,
,,,,91,5:30:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,4966,Oga Dib                          Chris Tomsett                            Kelly Tomsett                              TC-Fran Tomsett,9:00, ,14:41:00,,OUT,,,,,,,,,,,,,,,,,,,,
Unlimited,,,,92,5:41:00,,,,,,,,,,,,,,,,,,,,,,
,,,,92,5:41:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
