,,,,,,,,,,,2005 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Legend,,,,,,,,,,,,,,,,
,,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,
,,,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,,,
,,,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,,,
Position,Boat #,Team Members,,Staples,,Luling 90,,,Zedler Dam,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Tivoli,,Seadrift,
17,812,R.D. Kissling               TC-Ginsie Stauss,9:00, ,11:43:00, ,15:30:00, ,16:36:00, ,19:13:00, ,24:47:00, ,7:11:00, ,11:58:00, ,14:33:00, ,22:22:00, ,5:36:00, ,9:26:00, ,13:19:00
3rd Solo,,,,9,2:43:00,20,3:47:00,25,1:06:00,14,2:37:00,28,5:34:00,16,6:24:00,25,4:47:00,16,2:35:00,19,7:49:00,36,7:14:00,13,3:50:00,14,3:53:00
,,,,9,2:43:00,15,6:30:00,16,7:36:00,15,10:13:00,21,15:47:00,17,22:11:00,20,26:58:00,20,29:33:00,19,37:22:00,18,44:36:00,18,48:26:00,17,52:19:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,535,Ana Johnson            Scott Johnson                 TC-Lance Gray,9:00, ,11:58:00, ,15:50:00, ,16:53:00, ,19:35:00, ,24:50:00, ,7:38:00, ,11:55:00, ,14:32:00, ,22:21:00, ,5:32:00, ,9:26:00, ,13:34:00
1st Mixed,,,,24,2:58:00,25,3:52:00,16,1:03:00,21,2:42:00,21,5:15:00,22,6:48:00,14,4:17:00,17,2:37:00,19,7:49:00,35,7:11:00,15,3:54:00,22,4:08:00
,,,,24,2:58:00,24,6:50:00,23,7:53:00,23,10:35:00,22,15:50:00,20,22:38:00,19,26:55:00,19,29:32:00,18,37:21:00,17,44:32:00,17,48:26:00,18,52:34:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,221,Jerimiah Jackson          Stephen Rask                 TC-Sephanie McFerren,9:00, ,11:51:00, ,15:36:00, ,16:39:00, ,19:21:00, ,24:39:00, ,7:12:00, ,11:25:00, ,13:50:00, ,20:48:00, ,6:39:00, ,10:41:00, ,15:21:00
1st USCA C-2,,,,17,2:51:00,18,3:45:00,16,1:03:00,21,2:42:00,24,5:18:00,20,6:33:00,12,4:13:00,13,2:25:00,13,6:58:00,65,9:51:00,21,4:02:00,33,4:40:00
