,Overall Place,Recognition,Team Members,Boat #,Staples,Luling 90,Palmetto,Gonzales,Hochheim,Cuero 766,Cuero 236,Victoria,Swinging Bridge (off Canal Rd),Saltwater Barrier,Seadrift,Class,Competitors,Team Captions,0,600,1200,1800,2400,3000,3600,4200,4800,5400,6000
20,21,Tandem Unlimited,"Adam Sims
Paul Glisson
TC Brent Townsend
TC Emily Addlesperger",1004,0 days 02:40:00,0 days 06:36:00,0 days 10:04:00,0 days 14:34:00,0 days 20:50:00,1 days 00:51:00,1 days 03:04:00,1 days 10:30:00,1 days 16:46:00,1 days 22:28:00,2 days 02:26:00,Tandem Unlimited,"['Adam Sims', 'Paul Glisson', '']","['Brent Townsend', 'TC Emily Addlesperger']",-2.823763907144894e-07,60.848272266462466,119.09131966970088,178.23522596916916,228.5141584279499,264.33741191701745,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
21,22,Solo Unlimited Man,"Wendell Smith
TC Mark Miller
TC Aaron Timmins",1968,0 days 02:53:00,0 days 06:49:00,0 days 10:31:00,0 days 15:16:00,0 days 21:14:00,1 days 01:26:00,1 days 03:50:00,1 days 11:00:00,1 days 17:30:00,1 days 22:33:00,2 days 02:36:00,Solo Unlimited Man,"['Wendell Smith', '']","['Mark Miller', 'TC Aaron Timmins']",-2.823763907144894e-07,58.36625802570987,116.35962674305392,174.67815240862774,225.1850491079569,263.72277210926944,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
22,23,Tandem Unlimited,"RD Kissling
Bobby Smart
TC Zach Elkins",2021,0 days 02:54:00,0 days 07:00:00,0 days 10:41:00,0 days 15:28:00,0 days 21:33:00,1 days 02:00:00,1 days 04:36:00,1 days 12:18:00,1 days 18:33:00,2 days 00:07:00,2 days 03:36:00,Tandem Unlimited,"['RD Kissling', 'Bobby Smart', '']",['Zach Elkins'],-2.823763907144894e-07,57.42050871450647,114.57775566256977,170.03367762403175,219.74350057899994,258.8065006150588,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
23,24,Aluminum,"Gaston Jones
Lillian Jones
TC Kim Jones
TC Vance Jones",4,0 days 03:00:00,0 days 07:16:00,0 days 11:03:00,0 days 15:59:00,0 days 23:09:00,1 days 03:43:00,1 days 06:22:00,1 days 13:29:00,1 days 20:09:00,2 days 00:42:00,2 days 04:28:00,Aluminum,"['Gaston Jones', 'Lillian Jones', '']","['Kim Jones', 'TC Vance Jones']",-2.823763907144894e-07,55.52383137256289,107.73268734274959,162.42111436008113,213.15766808203963,255.71726810993275,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
24,25,USCA C-2,"Shannon Issendorf
Nathan Tart
TC Chris Issendorf
TC Dwight Tart",555,0 days 02:46:00,0 days 06:39:00,0 days 10:07:00,0 days 14:27:00,0 days 20:27:00,1 days 00:28:00,1 days 02:33:00,1 days 08:48:00,1 days 14:04:00,2 days 02:00:00,2 days 05:24:00,USCA C-2,"['Shannon Issendorf', 'Nathan Tart', '']","['Chris Issendorf', 'TC Dwight Tart']",-2.823763907144894e-07,60.55096624409894,121.23956879069274,184.30085230620054,235.18566346782794,250.26461887881922,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
25,26,Womens,"Veronica Sosa
Kelleen Arquette
TC Ray Arquette",4251,0 days 03:05:00,0 days 07:13:00,0 days 11:00:00,0 days 16:12:00,0 days 22:47:00,1 days 03:49:00,1 days 06:25:00,1 days 13:50:00,1 days 21:04:00,2 days 02:26:00,2 days 05:26:00,Womens,"['Veronica Sosa', 'Kelleen Arquette', '']",['Ray Arquette'],-2.823763907144894e-07,55.796252749882775,108.3533172697784,162.32537578970394,210.7640225605219,248.81166942783054,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
26,27,Aluminum,"Pete Binion
Wade Binion
TC Samantha Binion
TC Egan Gyldenege",8,0 days 03:19:00,0 days 07:35:00,0 days 11:33:00,0 days 16:42:00,0 days 23:47:00,1 days 04:20:00,1 days 06:53:00,1 days 14:44:00,1 days 21:24:00,2 days 02:18:00,2 days 05:26:00,Aluminum,"['Pete Binion', 'Wade Binion', '']","['Samantha Binion', 'TC Egan Gyldenege']",-2.823763907144894e-07,53.18993562317109,104.22817178477682,161.5112919846321,207.40082149378765,249.16293193246517,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
27,28,Unlimited,"James Lowe
Ash Wineinger
Ellie Wineinger
TC Renee Wineinger
TC Mason Wineinger",55,0 days 02:56:00,0 days 07:06:00,0 days 11:00:00,0 days 16:12:00,0 days 23:12:00,1 days 04:01:00,1 days 06:49:00,1 days 14:49:00,1 days 21:47:00,2 days 02:20:00,2 days 05:50:00,Unlimited,"['James Lowe', 'Ash Wineinger', 'Ellie Wineinger', '']","['Renee Wineinger', 'TC Mason Wineinger']",-2.823763907144894e-07,55.95923989870664,107.0802701937489,161.7506798962518,206.78235070242457,248.946360994293,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
28,29,Unlimited,"Shawn Melnar
Mason Melnar
Dylan Melnar
John Gutierrez
James Sanders
TC Sharon Melnar
TC Kaitlin Scherer
",14,0 days 02:55:00,0 days 07:18:00,0 days 11:13:00,0 days 16:30:00,0 days 23:47:00,1 days 04:20:00,1 days 06:53:00,1 days 14:12:00,1 days 21:28:00,2 days 02:22:00,2 days 05:55:00,Unlimited,"['Shawn Melnar', 'Mason Melnar', 'Dylan Melnar', 'John Gutierrez', 'James Sanders', '']","['Sharon Melnar', 'TC Kaitlin Scherer', '']",-2.823763907144894e-07,54.8414254827091,104.77161319716858,161.5112919846321,209.17259226027596,248.91811261105315,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
29,30,Mixed,"Myla Weber
Jim Weber
TC Cayla Weber
TC Elliott Perez",33,0 days 02:57:00,0 days 07:01:00,0 days 10:45:00,0 days 15:32:00,0 days 21:53:00,1 days 02:36:00,1 days 05:17:00,1 days 13:03:00,1 days 19:57:00,2 days 01:42:00,2 days 06:24:00,Mixed,"['Myla Weber', 'Jim Weber', '']","['Cayla Weber', 'TC Elliott Perez']",-2.823763907144894e-07,57.103632127645625,113.02921091463723,166.58258211828777,214.69393960636353,251.27304664169293,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
30,31,USCA C-1 Man,"Joshua Hulin
TC Dwight Hulin
TC Priscilla Hulin",44,0 days 03:14:00,0 days 07:36:00,0 days 11:58:00,0 days 18:01:00,1 days 02:26:00,1 days 08:20:00,1 days 10:43:00,1 days 17:45:00,2 days 00:05:00,2 days 04:08:00,2 days 07:57:00,USCA C-1 Man,"['Joshua Hulin', '']","['Dwight Hulin', 'TC Priscilla Hulin']",-2.823763907144894e-07,51.9608647582519,95.69727896489279,144.95569574461496,191.97763350640267,240.78618194118872,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
31,32,USCA C-1 Man,"Chris Stevenson
TC Karim Aziz
TC Leroy Kleinsasser",9,0 days 03:07:00,0 days 07:27:00,0 days 11:30:00,0 days 16:35:00,0 days 23:37:00,1 days 05:00:00,1 days 07:53:00,1 days 18:09:00,2 days 00:23:00,2 days 04:18:00,2 days 08:48:00,USCA C-1 Man,"['Chris Stevenson', '']","['Karim Aziz', 'TC Leroy Kleinsasser']",-2.823763907144894e-07,53.6101552775627,104.96550052245092,160.16967877275937,193.49613248042598,239.69780025293818,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
32,33,Aluminum,"Hoyt Moss
Jay Jackson
TC Wade Parsons
TC Charlie Bob Chapman",1620,0 days 03:12:00,0 days 07:36:00,0 days 11:42:00,0 days 17:19:00,1 days 00:13:00,1 days 05:02:00,1 days 07:46:00,1 days 15:50:00,1 days 23:00:00,2 days 03:45:00,2 days 08:58:00,Aluminum,"['Hoyt Moss', 'Jay Jackson', '']","['Wade Parsons', 'TC Charlie Bob Chapman']",-2.823763907144894e-07,52.697736433862275,101.37538145479334,160.19958217549487,202.2812444348398,243.63516935953078,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
33,34,Novice,"Aaron Zwahr
Austin Bodin
TC Jennifer Jenkins
TC Megan Campbell",762,0 days 03:27:00,0 days 08:00:00,0 days 12:14:00,0 days 17:33:00,1 days 00:42:00,1 days 05:51:00,1 days 08:48:00,1 days 16:47:00,1 days 23:50:00,2 days 04:43:00,2 days 09:18:00,Novice,"['Aaron Zwahr', 'Austin Bodin', '']","['Jennifer Jenkins', 'TC Megan Campbell']",-2.823763907144894e-07,50.36999072237459,99.66239309074246,158.8752998224811,197.78553292596047,240.25418242770448,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
34,35,Unlimited,"Gary Gibson
Brandon Gibson out at Gonzales
Matthew Wagner
TC Julie Gibson
TC Kassy Daniel",6801,0 days 02:39:00,0 days 06:31:00,0 days 10:06:00,0 days 18:28:00,1 days 01:43:00,1 days 07:04:00,1 days 09:45:00,1 days 17:28:00,1 days 23:47:00,2 days 05:25:00,2 days 10:41:00,Unlimited,"['Gary Gibson', 'Brandon Gibson out at Gonzales', 'Matthew Wagner', '']","['Julie Gibson', 'TC Kassy Daniel']",-2.823763907144894e-07,60.66942771347479,94.80248973671478,151.7476214847439,194.2419311174451,239.35096466173195,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
35,36,Tandem Unlimited,"Doug Johnson
Adam Morris
TC Dearl Davis
TC Stephen Malina",6922,0 days 03:21:00,0 days 07:38:00,0 days 11:58:00,0 days 17:24:00,1 days 00:58:00,1 days 06:23:00,1 days 10:00:00,1 days 18:55:00,2 days 02:00:00,2 days 06:48:00,2 days 11:06:00,Tandem Unlimited,"['Doug Johnson', 'Adam Morris', '']","['Dearl Davis', 'TC Stephen Malina']",-2.823763907144894e-07,51.88945079257476,99.6977778131776,156.20187672824105,188.96035024189516,232.2703987550363,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
36,37,Unlimited,"Joe Hunt
Steve Watson
Stacy Greer
TC Patty Hunt
TC Michael Watson",1775,0 days 03:29:00,0 days 07:42:00,0 days 11:55:00,0 days 18:01:00,1 days 01:26:00,1 days 06:24:00,1 days 09:08:00,1 days 17:18:00,2 days 01:20:00,2 days 07:22:00,2 days 11:43:00,Unlimited,"['Joe Hunt', 'Steve Watson', 'Stacy Greer', '']","['Patty Hunt', 'TC Michael Watson']",-2.823763907144894e-07,51.87503595512683,96.87451301959975,155.86357860781288,195.43212018400504,234.25871037092392,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
37,38,Tandem Unlimited,"Trab Seyn
Mike Smith
TC Cindy Gibeaux
TC Rob Nichols",3113,0 days 03:04:00,0 days 07:27:00,0 days 11:41:00,0 days 16:36:00,0 days 23:35:00,1 days 03:50:00,1 days 06:25:00,1 days 15:55:00,2 days 00:36:00,2 days 07:20:00,2 days 12:01:00,Tandem Unlimited,"['Trab Seyn', 'Mike Smith', '']","['Cindy Gibeaux', 'TC Rob Nichols']",-2.823763907144894e-07,53.048085915948434,105.00594384519478,162.32085418550685,201.8618732063424,236.01177125602086,266.007097359742,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
38,39,Tandem Unlimited,"Cody Taylor
Rocco Mosses
TC Amber Mosses
TC Hilary Taylor",8486,0 days 03:27:00,0 days 07:35:00,0 days 11:33:00,0 days 16:51:00,0 days 23:35:00,1 days 04:29:00,1 days 07:19:00,1 days 15:15:00,2 days 00:36:00,2 days 07:22:00,2 days 12:03:00,Tandem Unlimited,"['Cody Taylor', 'Rocco Mosses', '']","['Amber Mosses', 'TC Hilary Taylor']",-2.823763907144894e-07,53.18993562317109,104.30003223476724,160.99392825922112,204.03003902086604,235.99334084961208,265.8946510848782,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
39,40,Aluminum,"Andy Armendariz
Spencer Beck
TC Roman Manzano
TC Kendra Alaniz",4747,0 days 03:50:00,0 days 08:20:00,0 days 12:37:00,0 days 18:18:00,1 days 01:23:00,1 days 06:32:00,1 days 09:12:00,1 days 18:00:00,2 days 02:27:00,2 days 09:16:00,2 days 12:43:00,Aluminum,"['Andy Armendariz', 'Spencer Beck', '']","['Roman Manzano', 'TC Kendra Alaniz']",-2.823763907144894e-07,48.652169963850625,95.85869523093734,155.06619153440894,192.8079004713051,230.63531806724873,262.7814646054383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
40,41,Unlimited,"Daniel Currey
Greg Frank
Stephen Markowski
Derrick Lee
TC Heather Toombs
TC Miranda Wait",2379,0 days 02:58:00,0 days 07:18:00,0 days 11:27:00,0 days 17:42:00,1 days 01:30:00,1 days 06:46:00,1 days 10:25:00,1 days 20:00:00,2 days 02:31:00,2 days 09:34:00,2 days 12:48:00,Unlimited,"['Daniel Currey', 'Greg Frank', 'Stephen Markowski', 'Derrick Lee', '']","['Heather Toombs', 'TC Miranda Wait']",-2.823763907144894e-07,54.04247175452623,97.89182528588313,153.61120770203988,185.4805418160954,229.83613114397662,262.1543633957253,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
41,42,USCA C-2,"Paul Pape
Michael Howard
TC Jennifer Keirnan-Pape
TC Amber Howard",1973,0 days 03:24:00,0 days 07:51:00,0 days 12:23:00,0 days 18:19:00,1 days 02:41:00,1 days 07:58:00,1 days 10:59:00,1 days 19:03:00,2 days 04:56:00,2 days 09:27:00,2 days 13:02:00,USCA C-2,"['Paul Pape', 'Michael Howard', '']","['Jennifer Keirnan-Pape', 'TC Amber Howard']",-2.823763907144894e-07,50.407584304637325,94.42088612591499,145.76061651899641,186.9948995347633,223.15781865806179,261.50741584443904,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
