,,,,,,,,,2023 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,7th Unlimited,"Thomas Martin
William Martin
James Martin

TC Miles Hosanna
TC Katie Cunningham",183, ,12:09:00,,16:34:00,,20:33:00,,1:15:00,,8:15:00,,12:49:00,,15:34:00,,23:47:00,,7:06:00,,11:56:00,,15:05:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,30,3:09:00,25,4:25:00,20,3:59:00,19,4:42:00,14,7:00:00,9,4:34:00,10,2:45:00,14,8:13:00,21,7:19:00,18,4:50:00,2,3:09:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,30,3:09:00,26,7:34:00,22,11:33:00,21,16:15:00,18,23:15:00,17,27:49:00,16,30:34:00,14,38:47:00,13,46:06:00,14,50:56:00,12,54:05:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1st Solo Unlimited Woman,"Salli O'Donnell

TC Mike Malone",5353, ,11:46:00,,15:48:00,,19:46:00,,0:13:00,,7:26:00,,12:09:00,,14:59:00,,23:03:00,,6:53:00,,11:19:00,,15:07:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,2:46:00,10,4:02:00,19,3:58:00,13,4:27:00,17,7:13:00,13,4:43:00,11,2:50:00,13,8:04:00,30,7:50:00,8,4:26:00,9,3:48:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,2:46:00,8,6:48:00,11,10:46:00,13,15:13:00,12,22:26:00,12,27:09:00,13,29:59:00,11,38:03:00,12,45:53:00,12,50:19:00,13,54:07:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"1st Mixed Tandem Unlimited 
1st Adult Youth","Adelaide Rolls
Ian Rolls

TC Brooke Rolls
TC Blane Ellis",22, ,11:45:00,,15:45:00,,19:29:00,,0:07:00,,7:04:00,,11:50:00,,14:50:00,,23:18:00,,7:22:00,,11:28:00,,15:20:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,2:45:00,9,4:00:00,10,3:44:00,16,4:38:00,10,6:57:00,15,4:46:00,21,3:00:00,16,8:28:00,37,8:04:00,4,4:06:00,10,3:52:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,2:45:00,7,6:45:00,9,10:29:00,11,15:07:00,11,22:04:00,10,26:50:00,11,29:50:00,12,38:18:00,14,46:22:00,13,50:28:00,14,54:20:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
