,,,,,,,,,,,,2009 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Legend,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,,,,,,
,,,,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,,,,,,,,
,,,,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,,,,,,,,
Position,Recognition,Boat #,Team Members,,Staples,,Luling 90,,Zedler,,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Saltwater Barrier,,Seadrift,,,,,,
,,,,,9,2:53:00,6,7:08:00,7,8:15:00,6,11:12:00,5,16:33:00,5,23:31:00,5,28:18:00,5,31:12:00,5,40:00:00,7,48:11:00,8,55:40:00,10,67:18:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2nd Aluminum,1920,"Andrew Condie
Brandon Stafford
TC - Wade Stafford",9:00, ,12:12:00,,16:55:00,,18:06:00,,21:36:00,,3:38:00,,11:58:00,,17:32:00,,20:27:00,,7:22:00,,14:34:00,,21:10:00,,5:12:00,,,,,
,,,,,15,3:12:00,19,4:43:00,19,1:11:00,16,3:30:00,12,6:02:00,17,8:20:00,16,5:34:00,7,2:55:00,18,10:55:00,10,7:12:00,22,6:36:00,38,8:02:00,,,,,
,,,,,15,3:12:00,19,7:55:00,19,9:06:00,16,12:36:00,15,18:38:00,16,26:58:00,16,32:32:00,16,35:27:00,15,46:22:00,15,53:34:00,15,60:10:00,11,68:12:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4th Unlimited,388,"Terry Alford
James Green
Kent Harlan
Phil Meyer
Darryl Jiral
TC - Cindy Alford",9:00, ,11:48:00,,16:14:00,,17:22:00,,20:44:00,,3:15:00,,11:21:00,,16:20:00,,19:30:00,,6:29:00,,12:51:00,,18:37:00,,6:59:00,,,,,
,,,,,7,2:48:00,11,4:26:00,12,1:08:00,15,3:22:00,17,6:31:00,12,8:06:00,7,4:59:00,16,3:10:00,20,10:59:00,4,6:22:00,15,5:46:00,47,12:22:00,,,,,
,,,,,7,2:48:00,9,7:14:00,9,8:22:00,12,11:44:00,13,18:15:00,14,26:21:00,12,31:20:00,13,34:30:00,14,45:29:00,14,51:51:00,14,57:37:00,12,69:59:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3rd Solo,1729,"West Hansen
TC - Mike Drost",9:00, ,11:41:00,,15:39:00,,16:40:00,,19:55:00,,1:33:00,,9:41:00,,14:40:00,,17:39:00,,3:29:00,,11:36:00,,17:15:00,,7:05:01,,,,,
,,,,,3,2:41:00,4,3:58:00,3,1:01:00,13,3:15:00,6,5:38:00,15,8:08:00,7,4:59:00,10,2:59:00,11,9:50:00,15,8:07:00,11,5:39:00,49,13:50:01,,,,,
,,,,,3,2:41:00,4,6:39:00,3,7:40:00,5,10:55:00,5,16:33:00,9,24:41:00,9,29:40:00,8,32:39:00,9,42:29:00,9,50:36:00,10,56:15:00,13,70:05:01,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4th Solo,1001,"Jeff Wueste
TC - Jeff Glock",9:00, ,11:47:00,,16:08:00,,17:13:00,,20:13:00,,1:57:00,,9:40:00,,14:40:00,,17:39:00,,3:29:00,,11:36:00,,17:15:00,,7:05:02,,,,,
