,,,,,,,,,,,,2009 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Legend,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,,,,,,
,,,,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,,,,,,,,
,,,,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,,,,,,,,
Position,Recognition,Boat #,Team Members,,Staples,,Luling 90,,Zedler,,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Saltwater Barrier,,Seadrift,,,,,,
DNF,Tandem,7,"Patrick Brady
Alvin Skelton
TC - Gary Blaser",9:00, ,13:43:00,,19:54:00,,22:40:00,,8:55:00,,,,,,,,,,,,,,,,,,,,,
,,,,,72,4:43:00,63,6:11:00,76,2:46:00,70,10:15:00,,,,,,,,,,,,,,,,,,,,,
,,,,,72,4:43:00,71,10:54:00,76,13:40:00,76,23:55:00,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Solo,11,"Michael Ludford
TC - Deborah Lageman",9:00, ,13:39:00,,19:59:00,,23:10:00,,8:55:00,,,,,,,,,,,,,,,,,,,,,
,,,,,71,4:39:00,71,6:20:00,78,3:11:00,65,9:45:00,,,,,,,,,,,,,,,,,,,,,
,,,,,71,4:39:00,74,10:59:00,78,14:10:00,76,23:55:00,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,728,"Benjamin Duckett
TC - Constance Harris",9:00, ,14:01:00,,20:03:00,,21:37:00,,8:03:00,,,,,,,,,,,,,,,,,,,,,
,Solo,,,,81,5:01:00,58,6:02:00,61,1:34:00,73,10:26:00,,,,,,,,,,,,,,,,,,,,,
,,,,,81,5:01:00,75,11:03:00,72,12:37:00,72,23:03:00,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Solo,3030,"Chris Adams
TC - Anthony Adams",9:00, ,13:18:00,,19:49:00,,21:54:00,,7:33:00,,,,,,,,,,,,,,,,,,,,,
,,,,,59,4:18:00,78,6:31:00,73,2:05:00,63,9:39:00,,,,,,,,,,,,,,,,,,,,,
,,,,,59,4:18:00,69,10:49:00,73,12:54:00,71,22:33:00,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Mixed,71,"Richard Steppe
Robin Beinecasa
TC - Mike Stinson",9:00, ,12:22:00,,16:51:00,,17:59:00,,22:05:00,,,,,,,,,,,,,,,,,,,,,
,,,,,21,3:22:00,12,4:29:00,12,1:08:00,24,4:06:00,,,,,,,,,,,,,,,,,,,,,
,,,,,21,3:22:00,15,7:51:00,16,8:59:00,19,13:05:00,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,C-1,101,"Jim Pye
TC - Mark Simmons",9:00, ,12:30:00,,17:32:00,,18:49:00,,23:17:00,,,,,,,,,,,,,,,,,,,,,
,,,,,25,3:30:00,26,5:02:00,26,1:17:00,29,4:28:00,,,,,,,,,,,,,,,,,,,,,
,,,,,25,3:30:00,25,8:32:00,24,9:49:00,25,14:17:00,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Solo,731,"David Combs
TC - Amanda Butler",9:00, ,14:02:00,,20:03:00,,21:35:00,,7:29:00,,,,,,,,,,,,,,,,,,,,,
,,,,,82,5:02:00,57,6:01:00,59,1:32:00,67,9:54:00,,,,,,,,,,,,,,,,,,,,,
,,,,,82,5:02:00,75,11:03:00,71,12:35:00,70,22:29:00,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Unlimited,2009,"Joe A Fields
Joe M Fields
John Ptaszenski
TC - Heather Fields",9:00, ,12:52:00,,19:16:00,,20:31:00,,8:27:00,,,,,,,,,,,,,,,,,,,,,
,,,,,36,3:52:00,74,6:24:00,23,1:15:00,77,11:56:00,,,,,,,,,,,,,,,,,,,,,
,,,,,36,3:52:00,55,10:16:00,52,11:31:00,74,23:27:00,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Tandem,8374,"Aaron Hudson
Sean Riggs
TC - Thad York",9:00, ,13:35:00,,19:55:00,,21:31:00,,5:44:00,,,,,,,,,,,,,,,,,,,,,
,,,,,67,4:35:00,71,6:20:00,64,1:36:00,55,8:13:00,,,,,,,,,,,,,,,,,,,,,
,,,,,67,4:35:00,73,10:55:00,69,12:31:00,57,20:44:00,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Solo,1827,"Michael Baker
TC - Kellie Hill",9:00, ,13:47:00,,20:12:00,,22:59:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75,4:47:00,75,6:25:00,77,2:47:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75,4:47:00,77,11:12:00,77,13:59:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Novice,5150,"Patrick Jones
Aaron McGuire
TC - Mac McGuire",9:00, ,14:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,87,5:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,87,5:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Womens Solo',1991,"Kathryn Mendenhall
TC - Susan Mendenhall",9:00, ,14:27:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,89,5:27:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,89,5:27:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Solo,318,"David Krenek
TC - Kim Krenek",9:00, ,14:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,85,5:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,85,5:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Novice,8008,"Daniel Davis
David Wiatrek
TC - Bryan Milberger",9:00, ,13:54:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,79,4:54:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,79,4:54:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Solo,408,"Richard Linden Jr
TC - Michael Matz",9:00, ,14:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,83,5:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,83,5:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Tandem,169,"Kirk Scheidt
Christopher Eikel
TC - Ryan Aquirre",9:00, ,14:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,84,5:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,84,5:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Tandem,574,"Tim Turquette
Nathan Garcia
TC - Daral Turquette",9:00, ,13:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,77,4:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,77,4:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Novice,816,"Sam Heintz
Jacob Heintz
TC - Chris Gates",9:00, ,14:19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,88,5:19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,88,5:19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Solo,5608,"Ken Shaver
TC - Paul Heaton",9:00, ,13:59:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,80,4:59:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,80,4:59:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Tandem,1492,"Aaron Chevalier
Joshua Marek
TC - Michael Seese",9:00, ,14:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,85,5:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,85,5:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Unlimited,1619,"Jim Weber
Myla Weber
Courtney Weber
Kayla Weber
TC - Bobby Fortnoy",9:00, ,13:47:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75,4:47:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,75,4:47:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Solo,220,"Owen West
TC - Linda Lunsford",9:00, ,15:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,90,6:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,90,6:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Solo,2001,"Norm Thomas
TC - Chris Filder",9:00, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Solo,512,"Anthony Martinez
TC - Ralph Martinez",9:00, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Solo,4949,"Jay Fox
TC - Karl Schulz",9:00, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Includes 1 hour Penalty for failing to wear life jacket across the bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
