,,,,,,,,,,,,,2006 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Legend,,,,,,,,,,,,,,
,,,,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,
,,,,,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,
,,,,,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,
,Boat #,Team Members,,Staples,,Luling,,Zedler Mill,,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Tivoli,,Seadrift,
13,180,Jeff Glock                Peter Churchman            TC - John Glock,9:00, ,11:54:00, ,16:11:00, ,17:19:00, ,20:14:00, ,1:25:00, ,9:30:00, ,14:40:00, ,17:32:00, ,3:32:00, ,10:25:00, ,13:50:00, ,17:18:00
,2nd Tandem,,,10,2:54:00,13,4:17:00,11,1:08:00,14,2:55:00,10,5:11:00,14,8:05:00,10,5:10:00,16,2:52:00,22,10:00:00,19,6:53:00,7,3:25:00,11,3:28:00
,,,,10,2:54:00,11,7:11:00,10,8:19:00,11,11:14:00,10,16:25:00,11,24:30:00,9,29:40:00,10,32:32:00,13,42:32:00,15,49:25:00,13,52:50:00,13,56:18:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,50,Jimmy Harvey           TC - Ginsie Stauss,9:00, ,12:05:00, ,16:21:00, ,17:27:00, ,20:36:00, ,1:55:00, ,9:58:00, ,15:21:00, ,18:10:00, ,3:28:00, ,9:32:00, ,14:00:00, ,18:50:00
,2nd Solo,,,25,3:05:00,11,4:16:00,7,1:06:00,21,3:09:00,15,5:19:00,13,8:03:00,14,5:23:00,13,2:49:00,14,9:18:00,7,6:04:00,21,4:28:00,36,4:50:00
,,,,25,3:05:00,17,7:21:00,15,8:27:00,19,11:36:00,17,16:55:00,13,24:58:00,13,30:21:00,13,33:10:00,11,42:28:00,12,48:32:00,14,53:00:00,14,57:50:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,8,Mike Rendon               TC - Kent Harlan,9:00, ,11:58:00, ,16:13:00, ,17:19:00, ,20:14:00, ,1:28:00, ,10:41:00, ,16:07:00, ,19:05:00, ,5:02:00, ,11:45:00, ,16:33:00, ,20:14:00
,3rd Solo,,,14,2:58:00,10,4:15:00,8,1:06:00,14,2:55:00,12,5:14:00,29,9:13:00,18,5:26:00,18,2:58:00,21,9:57:00,15,6:43:00,32,4:48:00,17,3:41:00
,,,,14,2:58:00,12,7:13:00,10,8:19:00,11,11:14:00,11,16:28:00,20,25:41:00,19,31:07:00,17,34:05:00,16,44:02:00,16,50:45:00,16,55:33:00,15,59:14:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,259,Sandy Yonley          Sarah Walliser             Holly Nelson              TC - Tom Goynes,9:00, ,12:02:00, ,16:23:00, ,17:33:00, ,20:43:00, ,2:17:00, ,10:27:00, ,16:06:00, ,19:26:00, ,6:23:00, ,12:49:00, ,16:50:00, ,20:20:00
,1st Womens,,,22,3:02:00,18,4:21:00,14,1:10:00,22,3:10:00,20,5:34:00,15,8:10:00,21,5:39:00,28,3:20:00,32,10:57:00,11,6:26:00,15,4:01:00,13,3:30:00
,,,,22,3:02:00,19,7:23:00,18,8:33:00,21,11:43:00,19,17:17:00,17,25:27:00,18,31:06:00,20,34:26:00,17,45:23:00,17,51:49:00,17,55:50:00,16,59:20:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,47,Bob Bradford             Bob Vincent                TC - Lee Deviney,9:00, ,12:02:00, ,16:29:00, ,17:38:00, ,20:37:00, ,2:17:00, ,10:33:00, ,15:57:00, ,18:46:00, ,4:10:00, ,10:24:00, ,14:00:00, ,20:22:00
,2nd USCA C-2,,,22,3:02:00,23,4:27:00,13,1:09:00,18,2:59:00,23,5:40:00,16,8:16:00,15,5:24:00,11,2:49:00,15,9:24:00,9,6:14:00,9,3:36:00,47,6:22:00
,,,,22,3:02:00,24,7:29:00,22,8:38:00,20,11:37:00,19,17:17:00,18,25:33:00,16,30:57:00,15,33:46:00,15,43:10:00,14,49:24:00,14,53:00:00,17,59:22:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,101,Phil Gumbert              TC - Mary Jo Gumbert,9:00, ,11:58:00, ,16:10:00, ,17:17:00, ,20:11:00, ,1:29:00, ,10:36:00, ,18:04:00, ,21:02:00, ,8:00:00, ,14:48:00, ,18:55:00, ,23:08:00
