,,,,,,,,,,,,,2006 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Legend,,,,,,,,,,,,,,
,,,,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,
,,,,,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,
,,,,,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,
,Boat #,Team Members,,Staples,,Luling,,Zedler Mill,,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Tivoli,,Seadrift,
DNF,1112,Chad Keeth             Jon Von Toussaint     TC - Lee Robinson,9:00, ,12:39:00, ,18:26:00, ,20:18:00, ,3:34:00, ,12:57:00,,OUT,,,,,,,,,,,,
,,,,56,3:39:00,64,5:47:00,74,1:52:00,68,7:16:00,62,9:23:00,,,,,,,,,,,,,,
,,,,56,3:39:00,61,9:26:00,64,11:18:00,68,18:34:00,62,27:57:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,2001,Norm Thomas           TC - Doug MacKay,9:00, ,13:01:00, ,18:57:00, ,21:00:00, ,4:32:00, ,15:10:00,,OUT,,,,,,,,,,,,
,,,,74,4:01:00,70,5:56:00,75,2:03:00,69,7:32:00,68,10:38:00,,,,,,,,,,,,,,
,,,,74,4:01:00,72,9:57:00,74,12:00:00,70,19:32:00,71,30:10:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,3742,Janet Ward          James Ward              TC - Charleen Dowell,9:00, ,13:14:00, ,19:00:00, ,20:29:00, ,1:18:00,,OUT,,,,,,,,,,,,,,
,,,,85,4:14:00,62,5:46:00,58,1:29:00,52,4:49:00,,,,,,,,,,,,,,,,
,,,,85,4:14:00,75,10:00:00,68,11:29:00,57,16:18:00,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,316,Joel Dickens        Gregg Huskey          TC - Hollie Dickens,9:00, ,13:10:00, ,19:13:00, ,21:01:00, ,4:12:00,,OUT,,,,,,,,,,,,,,
,,,,81,4:10:00,79,6:03:00,73,1:48:00,67,7:11:00,,,,,,,,,,,,,,,,
,,,,81,4:10:00,82,10:13:00,75,12:01:00,69,19:12:00,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,233,Scotty Haslam          TC - Justin Haslam,9:00, ,12:49:00, ,18:22:00, ,19:44:00,,OUT,,,,,,,,,,,,,,,,
,,,,66,3:49:00,58,5:33:00,51,1:22:00,,,,,,,,,,,,,,,,,,
,,,,66,3:49:00,59,9:22:00,59,10:44:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,120,Phil Bowden             TC - Meagan McCoy,9:00, ,12:00:00, ,16:37:00,,OUT,,,,,,,,,,,,,,,,,,
,,,,18,3:00:00,29,4:37:00,,,,,,,,,,,,,,,,,,,,
,,,,18,3:00:00,26,7:37:00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,22,Jack Elvig                 Mark Elvig                 John Elvig                   TC - Zachery Coffia,9:00, ,12:59:00, ,19:12:00,,OUT,,,,,,,,,,,,,,,,,,
,,,,72,3:59:00,83,6:13:00,,,,,,,,,,,,,,,,,,,,
,,,,72,3:59:00,81,10:12:00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,9,Jon Schoepflin       Stale Greek              TC - Warren Moorman,9:00, ,13:33:00,,OUT,,,,,,,,,,,,,,,,,,,,
,,,,92,4:33:00,,,,,,,,,,,,,,,,,,,,,,
,,,,92,4:33:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,31,John Hafner      Jonathan Jacobs       TC - Lane Hamblin,9:00, ,13:13:00,,OUT,,,,,,,,,,,,,,,,,,,,
,,,,84,4:13:00,,,,,,,,,,,,,,,,,,,,,,
,,,,84,4:13:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,817,Woodrow Courtney  Jason Sutcliffe          TC - William Patrick ,9:00, ,13:30:00,,OUT,,,,,,,,,,,,,,,,,,,,
,,,,89,4:30:00,,,,,,,,,,,,,,,,,,,,,,
,,,,89,4:30:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,3530,Scott Warren              Lee Lawrence               TC - Mindy Warren,9:00, ,13:30:00,,OUT,,,,,,,,,,,,,,,,,,,,
,,,,89,4:30:00,,,,,,,,,,,,,,,,,,,,,,
,,,,89,4:30:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,1212,Ken Masters       Roque Lopez            TC - Kenneth Masters,9:00, ,13:55:00,,OUT,,,,,,,,,,,,,,,,,,,,
,,,,94,4:55:00,,,,,,,,,,,,,,,,,,,,,,
,,,,94,4:55:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,1213,Mark Renn          Johnny Fitzgerald     TC - Jacob Thomas,9:00, ,13:19:00,,OUT,,,,,,,,,,,,,,,,,,,,
,,,,87,4:19:00,,,,,,,,,,,,,,,,,,,,,,
,,,,87,4:19:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,8580,Ryan Prochaska  Jason Prochaska      TC - R Prochaska,9:00, ,13:48:00,,OUT,,,,,,,,,,,,,,,,,,,,
,,,,93,4:48:00,,,,,,,,,,,,,,,,,,,,,,
,,,,93,4:48:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,827,John Stockwell         TC - V Stockwell,9:00, ,13:32:00,,OUT,,,,,,,,,,,,,,,,,,,,
,,,,91,4:32:00,,,,,,,,,,,,,,,,,,,,,,
,,,,91,4:32:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,86,Elmer Haby              TC - Chuck Meyer,9:00, ,14:57:00,,OUT,,,,,,,,,,,,,,,,,,,,
,,,,97,5:57:00,,,,,,,,,,,,,,,,,,,,,,
,,,,97,5:57:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,220,Owen West              TC - Dean Hall,9:00, ,15:20:00,,OUT,,,,,,,,,,,,,,,,,,,,
,,,,99,6:20:00,,,,,,,,,,,,,,,,,,,,,,
,,,,99,6:20:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,1297,Joseph Danesi    William Nelson     Ricky Robbins          TC - C Danesi,9:00, ,15:15:00,,OUT,,,,,,,,,,,,,,,,,,,,
,,,,98,6:15:00,,,,,,,,,,,,,,,,,,,,,,
,,,,98,6:15:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,1330,Gregory Mitchum  Blake Boston           TC - Stacey Mitchum,9:00, ,16:20:00,,OUT,,,,,,,,,,,,,,,,,,,,
,,,,100,7:20:00,,,,,,,,,,,,,,,,,,,,,,
,,,,100,7:20:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,5,Stephen Klinicki     Doug Arner               TC - Rosi Whipkey,9:00, ,17:00:00,,OUT,,,,,,,,,,,,,,,,,,,,
,,,,101,8:00:00,,,,,,,,,,,,,,,,,,,,,,
,,,,101,8:00:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,107,James Wright       Cody Jarrett             TC - Lee Wright,9:00, ,12:34:00,,OUT,,,,,,,,,,,,,,,,,,,,
,,,,51,3:34:00,,,,,,,,,,,,,,,,,,,,,,
,,,,51,3:34:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,171,Mike Hamilton           TC - Austin Eagleton,9:00, ,12:48:00,,OUT,,,,,,,,,,,,,,,,,,,,
,,,,63,3:48:00,,,,,,,,,,,,,,,,,,,,,,
,,,,63,3:48:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,5434,Joe Hunt                   TC - Alan Hulick,9:00, ,13:20:00,,OUT,,,,,,,,,,,,,,,,,,,,
,,,,88,4:20:00,,,,,,,,,,,,,,,,,,,,,,
,,,,88,4:20:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,722,Kristoffer Russell   Jeffrey  Russell         TC - Nicole Russell,9:00, ,14:02:00,,OUT,,,,,,,,,,,,,,,,,,,,
,,,,95,5:02:00,,,,,,,,,,,,,,,,,,,,,,
,,,,95,5:02:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,1987,Roman Gomez       Mike Haigh               TC - Robynne  Gomez,9:00, ,14:11:00,,OUT,,,,,,,,,,,,,,,,,,,,
,,,,96,5:11:00,,,,,,,,,,,,,,,,,,,,,,
,,,,96,5:11:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9:00,,,,,,,,,,,,,,,,,,,,,,,,
